strain,evolution_history,r_tref,e,eh,th,topt,tmax,rmax,b80,r2,n_obs
35_F4,35 evolved,0.46925095681272644,0.2480355065782042,12.74627982360006,313.64180010656986,37.90642675924789,42.572803797798215,NA,9.834983498349832,0.975454787109706,15
35_F6,35 evolved,0.5089036578328409,0.19038880675584685,21.7591363590785,313.9049195702088,38.9199191545404,41.939822869373664,NA,11.265126512651268,0.9740066157773655,15
35_G11,35 evolved,0.49305686539686266,0.20444342861656192,16.123606832141615,313.9524291205478,38.52490336148384,42.420860741531875,NA,11.039603960396043,0.8947609676977043,15
35_G5,35 evolved,0.531340001613972,0.18718950491157302,17.55081633728626,313.8147466660211,38.489538605045304,42.14183337621842,NA,11.716171617161713,0.976040799170165,15
35_G9,35 evolved,0.5239812419143318,0.18600288685434824,21.476560841046464,313.9072403908206,38.89417788572238,41.95751986425263,NA,11.5016501650165,0.9879398360862814,15
40_B2,40 evolved,0.4655957132464598,0.2431151454300512,11.788210846622626,314.73326580257725,38.81242690513227,43.85675572864888,NA,10.203520352035206,0.9070630453260549,15
40_B6,40 evolved,0.4407797612145049,0.22340495776961675,35.59723600827787,314.4753165375975,40.11745885589692,42.046200048328515,NA,9.356435643564357,0.9611560545966433,15
40_B8,40 evolved,0.4628557812883078,0.22336998285112053,20.26966349518381,314.6318225299718,39.6005700404481,42.76785695778406,NA,9.983498349834985,0.9229082891539281,15
40_C5,40 evolved,0.45924241313645847,0.23011814349599446,25.687470556146202,314.4710951470689,39.76753003591197,42.32841274753892,NA,9.433443344334435,0.9849319395206818,15
40_C7,40 evolved,0.5235280427684582,0.16688223615277378,23.76068543520661,314.44022312740384,39.52468453044749,42.373498784282674,NA,12.524752475247528,0.9814643693169192,15
40_C9,40 evolved,0.4905775887255686,0.2209603003457255,25.702383571606333,314.4551495262901,39.738997883739714,42.31078902745375,NA,9.768976897689768,0.9914551617014049,15
40_D2,40 evolved,0.45009248704440225,0.2213091782930709,16.409273565949118,314.3750863197564,39.01291154945574,42.82281140467668,NA,10.352035203520355,0.939826318657629,15
40_D4,40 evolved,0.49472920759846795,0.19504037226848162,11.703245143145821,314.8545909861069,38.756057963526196,43.97440156456449,NA,12.134213421342132,0.7935799218150226,15
40_D8,40 evolved,0.47185557267130834,0.2116707250038783,28.30140411237118,314.39388360379394,39.77958990649132,42.15374298887871,NA,10.02750275027503,0.9903332255316657,15
40_E11,40 evolved,0.501728241588837,0.19645684967930824,27.292661708206005,314.5194641350572,39.83816822731721,42.313068732498394,NA,10.73707370737074,0.9937490642084111,15
40_E7,40 evolved,0.49745900628654777,0.201935282497777,30.729421570909658,314.44760902105895,39.912238731611794,42.133543222862215,NA,10.357535753575359,0.9942879188485215,15
40_E9,40 evolved,0.4128275384663995,0.2481723469415171,27.5760740449194,314.4630194801701,39.86685430101273,42.25119955385043,NA,8.773377337733777,0.9765608408123757,15
40_F2,40 evolved,0.4994606222144405,0.19594797783278067,26.41154398195804,314.71693413842615,39.99256762472496,42.543944546124,NA,10.814081408140819,0.9219778425104639,15
40_F4,40 evolved,0.5084623914354461,0.20309244470220195,18.469177621408395,314.63690462999756,39.4224034809202,42.898829714942345,NA,10.935093509350938,0.9166276523409161,15
40_F6,40 evolved,0.5196196990516451,0.20020337144544292,28.643451271680316,314.47592395466575,39.85817741998815,42.22412802171358,NA,10.511551155115509,0.9556986417360906,15
40_G11,40 evolved,0.5080109416370141,0.22171479323775242,13.292698740963022,314.7487261175738,39.00212675116535,43.59412891848959,NA,10.720572057205722,0.8425663902023077,15
40_G5,40 evolved,0.44097425227245246,0.2432480813172907,23.797244645814317,314.3179509231676,39.540423849934335,42.25819205622428,NA,9.08140814081408,0.9729536640233801,15
40_G9,40 evolved,0.5650056834183674,0.19218715262470973,14.1747763051607,314.83943225622494,39.12701839783497,43.546333126353765,NA,11.897689768976896,0.9009786493366445,15
fRS585,fRS585,0.5008399944316785,0.1999783244128613,25.631736563131867,314.2557641448817,39.50515110363221,42.11070759404981,NA,10.627062706270625,0.9823292129103387,45
