strain,evolution_history,r_tref,e,eh,th,topt,ctmax,rmax,b80,r2,n_obs
35_F6,35 evolved,6.767634389075946,0.36078267452062157,8.224666037476574,313.8679088643597,37.56875687568757,44.14741474147415,18.59043520346278,8.366336633663366,0.9884549157092641,15
35_G11,35 evolved,6.742068733118248,0.3713868402871287,6.603874331518171,314.04576396107956,37.31023102310231,45.291529152915295,18.637675887639894,8.822882288228826,0.934069835661427,15
35_G5,35 evolved,6.601358224381382,0.3712206485884262,6.880563303645424,313.982255183784,37.33773377337734,45.02750275027503,18.306630333909318,8.701870187018706,0.96720716810365015,15
35_G9,35 evolved,7.168283237764103,0.33611230202756015,8.388834428360248,314.0193200942611,37.684268426842685,44.207920792079214,18.478912602326236,8.729372937293732,0.9908949089596986,15
40_B2,40 evolved,5.793421507697441,0.39329984665959583,5.757551477598075,314.0206711023668,37.06270627062707,46.05060506050605,16.649672026691732,8.949394939493946,0.9856952215321294,15
40_B6,40 evolved,6.976659799357742,0.3266892330019272,11.8603598727913,314.3958424164368,38.70737073707371,43.542354235423545,18.44484574794718,8.151815181518153,0.9475973773973727,15
40_B8,40 evolved,6.830290642792707,0.3232800362987634,4.786142333095245,314.5606188961042,36.80418041804181,47.67326732673268,15.914484571269448,10.797579757975797,0.737448381629453,15
40_C5,40 evolved,7.081781104478963,0.30689956757785375,9.050207451624543,314.3246754703331,38.052805280528055,44.22992299229923,17.092843872684654,9.119911991199118,0.976394801923437,15
40_C7,40 evolved,6.066597085129036,0.39046279388409366,7.640422998248645,314.2603240950634,37.88778877887789,44.86798679867987,18.31181437035076,8.151815181518153,0.9166635265689885,15
40_C9,40 evolved,6.824086556543177,0.3465499809378483,6.657588198178816,314.2341067694377,37.42024202420242,45.412541254125415,17.715564306588643,9.202420242024203,0.9936634246526259,15
40_D2,40 evolved,5.614026873479705,0.43505758354640395,7.510710137831814,313.9878865819029,37.71727172717272,44.70847084708471,19.026444928333277,7.645764576457644,0.7470949464178724,15
40_D4,40 evolved,6.5530946451244985,0.3640366898144809,7.362111874093479,314.44507821402624,37.90979097909791,45.18701870187019,18.33904754972881,8.641364136413642,0.868258243536973,15
40_D8,40 evolved,7.697793477025315,0.2904494880848377,8.726242788217256,314.1649307245643,37.76677667766777,44.17491749174918,17.52366478594257,9.565456545654566,0.9824948112005503,15
40_E11,40 evolved,6.529555444255682,0.38796764343125917,5.491668998377607,314.08969039279276,37.002200220022004,46.3971397139714,18.382573551527955,9.185918591859188,0.9690745183746261,15
40_E7,40 evolved,7.403072005211697,0.3192612718783886,6.646675151752969,314.42577623003535,37.491749174917494,45.58305830583058,17.87989189481161,9.713971397139712,0.8066342358903139,15
40_E9,40 evolved,7.154681288611837,0.3021383576937425,7.749585828788393,314.3709302190689,37.739273927392745,44.834983498349835,16.742425521298156,9.620462046204619,0.9770176398242533,15
40_F2,40 evolved,6.316021964420224,0.39340995688036084,5.708638786928498,314.11537505771514,37.13421342134214,46.199119911991204,18.2092325081598,8.976897689768975,0.9309949868505994,15
40_F4,40 evolved,6.89200950575865,0.31274353826916773,7.437224430175001,314.49689761988213,37.805280528052805,45.14301430143015,16.628093022367217,9.521452145214525,0.9907423474109815,15
40_F6,40 evolved,7.385624292099095,0.32362379863949164,9.981450903626154,314.42786754879677,38.40484048404841,44.03740374037404,19.023912636189973,8.569856985698575,0.95880486312528,15
40_G11,40 evolved,6.022193478777167,0.42068319289653894,4.743736455437451,313.9616637762629,36.6941694169417,47.370737073707375,17.97208951382429,9.279427942794282,0.96086605054104135,15
40_G5,40 evolved,7.00308291039892,0.32375799439788083,8.62747509187803,314.08326517758167,37.76677667766777,44.15841584158416,17.512530663849986,8.888888888888893,0.962497645989497,15
40_G9,40 evolved,5.686071217674375,0.45465564867697983,6.634288021779275,314.2205333970638,37.76127612761277,45.56105610561056,20.234049225235495,7.794279427942797,0.9188526577571053,15
fRS585,fRS585,6.985610204150978,0.34948558797879486,7.313086018504592,314.03828098416307,37.44774477447745,44.78547854785479,18.39662827361856,8.86688668866887,0.9845808996187048,45
