well,block,test_temperature,strain,evolution_history,auc_gc,n_obs
c5,1,41,35_G5,35 evolved,0.31087552083333336,97
c5,1,42,35_G5,35 evolved,0.07367864583333333,97
c5,2,25,40_E9,40 evolved,0.5038479166666666,97
c5,2,35,40_E9,40 evolved,0.8054812500000001,97
c5,2,38,40_E9,40 evolved,0.8295098958333335,97
c5,2,41,40_E9,40 evolved,0.6858885416666665,97
c5,2,42,40_E9,40 evolved,0.09624531250000003,97
c5,3,25,35_D2,35 evolved,0.68600625,97
c5,3,35,35_D2,35 evolved,0.881134375,97
c5,3,38,35_D2,35 evolved,0.9084749999999997,97
c5,3,41,35_D2,35 evolved,0.43377916666666666,97
c5,3,42,35_D2,35 evolved,0.05277291666666665,97
c6,1,25,35_F4,35 evolved,0.6820864583333335,97
c6,1,35,35_F4,35 evolved,0.8966479166666665,97
c6,1,38,35_F4,35 evolved,1.1235104166666663,97
c6,1,41,35_F4,35 evolved,0.40138072916666667,97
c6,1,42,35_F4,35 evolved,0.1236505208333333,97
c7,1,25,35_D4,35 evolved,0.6895708333333334,97
c7,1,35,35_D4,35 evolved,0.8968854166666668,97
c7,1,38,35_D4,35 evolved,0.9175020833333333,97
c7,1,41,35_D4,35 evolved,0.4975890624999998,97
c7,1,42,35_D4,35 evolved,0.0811223958333333,97
c7,3,25,40_D8,40 evolved,0.6371166666666667,97
c7,3,35,40_D8,40 evolved,0.8662343749999999,97
c7,3,38,40_D8,40 evolved,0.8913072916666664,97
c7,3,41,40_D8,40 evolved,0.7054395833333336,97
c7,3,42,40_D8,40 evolved,0.09816666666666667,97
c8,1,25,40_F2,40 evolved,0.6419583333333333,97
c8,1,35,40_F2,40 evolved,0.8289197916666666,97
c8,1,38,40_F2,40 evolved,0.8471427083333335,97
c8,1,41,40_F2,40 evolved,0.7699276041666665,97
c8,1,42,40_F2,40 evolved,0.25197656249999995,97
c8,3,25,35_F2,35 evolved,0.6619677083333333,97
c8,3,35,35_F2,35 evolved,0.7901614583333333,97
c8,3,38,35_F2,35 evolved,0.8813979166666663,97
c8,3,41,35_F2,35 evolved,0.5326927083333335,97
c8,3,42,35_F2,35 evolved,0.06750104166666664,97
c9,1,25,40_D4,40 evolved,0.6419999999999999,97
c9,1,35,40_D4,40 evolved,0.8511614583333331,97
c9,1,38,40_D4,40 evolved,0.8885125000000003,97
c9,1,41,40_D4,40 evolved,0.7579869791666665,97
c9,1,42,40_D4,40 evolved,0.4750713541666666,97
c9,2,25,fRS585,fRS585,0.6345395833333334,97
c9,2,35,fRS585,fRS585,0.8712729166666668,97
c9,2,38,fRS585,fRS585,0.9101369791666667,97
c9,2,41,fRS585,fRS585,0.6343572916666664,97
c9,2,42,fRS585,fRS585,0.0677703125,97
c9,3,25,fRS585,fRS585,0.6785072916666668,97
c9,3,35,fRS585,fRS585,0.8682885416666664,97
c9,3,38,fRS585,fRS585,0.8991197916666666,97
c9,3,41,fRS585,fRS585,0.5206624999999998,97
c9,3,42,fRS585,fRS585,0.07390208333333337,97
d10,1,25,40_B8,40 evolved,0.6096968749999998,97
