well,block,test_temperature,strain,evolution_history,auc_gc,n_obs
f9,2,41,35_F6,35 evolved,0.49709062499999984,97
f9,2,42,35_F6,35 evolved,0.05064635416666666,97
g10,1,25,40_G9,40 evolved,0.7272145833333332,97
g10,1,35,40_G9,40 evolved,1.021428125,97
g10,1,38,40_G9,40 evolved,0.9902875000000001,97
g10,1,41,40_G9,40 evolved,0.8137890624999999,97
g10,1,42,40_G9,40 evolved,0.4267307291666667,97
g10,3,25,35_F2,35 evolved,0.6835635416666667,97
g10,3,35,35_F2,35 evolved,0.8753270833333334,97
g10,3,38,35_F2,35 evolved,0.9367937499999998,97
g10,3,41,35_F2,35 evolved,0.6829645833333334,97
g10,3,42,35_F2,35 evolved,0.06747604166666664,97
g2,1,25,35_G11,35 evolved,0.5934291666666666,97
g2,1,35,35_G11,35 evolved,0.9024697916666666,97
g2,1,38,35_G11,35 evolved,0.9093562500000001,97
g2,1,41,35_G11,35 evolved,0.19762135416666665,97
g2,1,42,35_G11,35 evolved,0.07218697916666665,97
g2,3,25,40_E7,40 evolved,0.6574416666666666,97
g2,3,35,40_E7,40 evolved,0.9018124999999997,97
g2,3,38,40_E7,40 evolved,0.8983312499999998,97
g2,3,41,40_E7,40 evolved,0.7187833333333332,97
g2,3,42,40_E7,40 evolved,0.06387291666666665,97
g3,2,25,35_G9,35 evolved,0.6732947916666667,97
g3,2,35,35_G9,35 evolved,0.8628729166666664,97
g3,2,38,35_G9,35 evolved,0.9224953124999995,97
g3,2,41,35_G9,35 evolved,0.24305729166666667,97
g3,2,42,35_G9,35 evolved,0.050163020833333336,97
g3,3,25,35_E7,35 evolved,0.6481312499999997,97
g3,3,35,35_E7,35 evolved,0.8931249999999994,97
g3,3,38,35_E7,35 evolved,0.8998354166666664,97
g3,3,41,35_E7,35 evolved,0.6919406250000002,97
g3,3,42,35_E7,35 evolved,0.04834583333333332,97
g4,1,25,35_B6,35 evolved,0.6400104166666666,97
g4,1,35,35_B6,35 evolved,0.872734375,97
g4,1,38,35_B6,35 evolved,0.9021375,97
g4,1,41,35_B6,35 evolved,0.15856302083333323,97
g4,1,42,35_B6,35 evolved,0.08357656249999998,97
g4,3,25,40_C5,40 evolved,0.6497677083333333,97
g4,3,35,40_C5,40 evolved,0.8791947916666667,97
g4,3,38,40_C5,40 evolved,0.9323270833333331,97
g4,3,41,40_C5,40 evolved,0.7453489583333333,97
g4,3,42,40_C5,40 evolved,0.08023645833333334,97
g5,2,25,40_F4,40 evolved,0.7007197916666666,97
g5,2,35,40_F4,40 evolved,0.8926718749999998,97
g5,2,38,40_F4,40 evolved,0.9387536458333333,97
g5,2,41,40_F4,40 evolved,0.7345687500000003,97
g5,2,42,40_F4,40 evolved,0.15910572916666665,97
g5,3,25,40_F6,40 evolved,0.695915625,97
g5,3,35,40_F6,40 evolved,0.8833239583333331,97
g5,3,38,40_F6,40 evolved,0.9206156249999999,97
g5,3,41,40_F6,40 evolved,0.7915187499999997,97
g5,3,42,40_F6,40 evolved,0.06923645833333332,97
g6,1,25,40_D2,40 evolved,0.6362302083333332,97
g6,1,35,40_D2,40 evolved,0.8300708333333331,97
g6,1,38,40_D2,40 evolved,0.8755135416666663,97
g6,1,41,40_D2,40 evolved,0.5353765624999999,97
g6,1,42,40_D2,40 evolved,0.10950052083333336,97
g6,2,25,35_F6,35 evolved,0.6847687499999999,97
g6,2,35,35_F6,35 evolved,0.8799239583333334,97
g6,2,38,35_F6,35 evolved,0.9214776041666665,97
g6,2,41,35_F6,35 evolved,0.3011854166666666,97
g6,2,42,35_F6,35 evolved,0.04829010416666664,97
g7,1,25,40_G9,40 evolved,0.7221614583333336,97
g7,1,35,40_G9,40 evolved,0.9754010416666665,97
g7,1,38,40_G9,40 evolved,0.995698958333333,97
g7,1,41,40_G9,40 evolved,0.7831942708333333,97
g7,1,42,40_G9,40 evolved,0.26282447916666674,97
g7,3,25,35_C5,35 evolved,0.6736604166666667,97
g7,3,35,35_C5,35 evolved,0.8921531250000002,97
g7,3,38,35_C5,35 evolved,0.8895937499999997,97
g7,3,41,35_C5,35 evolved,0.6735489583333333,97
g7,3,42,35_C5,35 evolved,0.09699583333333332,97
g8,1,25,35_G11,35 evolved,0.6960479166666667,97
g8,1,35,35_G11,35 evolved,0.8840416666666666,97
g8,1,38,35_G11,35 evolved,0.8929927083333332,97
g8,1,41,35_G11,35 evolved,0.3144609375,97
g8,1,42,35_G11,35 evolved,0.10231197916666665,97
g8,2,25,35_E9,35 evolved,0.6525947916666666,97
g8,2,35,35_E9,35 evolved,0.8666812500000002,97
g8,2,38,35_E9,35 evolved,0.9100723958333333,97
g8,2,41,35_E9,35 evolved,0.3263208333333332,97
g8,2,42,35_E9,35 evolved,0.05291614583333333,97
g8,3,25,40_B6,40 evolved,0.6501739583333332,97
g8,3,35,40_B6,40 evolved,0.8268916666666665,97
g8,3,38,40_B6,40 evolved,0.8350052083333329,97
g8,3,41,40_B6,40 evolved,0.6594302083333333,97
g8,3,42,40_B6,40 evolved,0.0693989583333333,97
g9,1,25,35_D4,35 evolved,0.6961208333333333,97
g9,1,35,35_D4,35 evolved,0.8942656249999995,97
g9,1,38,35_D4,35 evolved,0.8921270833333331,97
g9,1,41,35_D4,35 evolved,0.4028265624999999,97
g9,1,42,35_D4,35 evolved,0.07076718749999998,97
