rep.id,well,block,test_temperature,strain,evolution_history,mu,r2
e3_2_41_35_C7_35 evolved,e3,2,41,35_C7,35 evolved,0.875002133371403,0.9855867496292161
e8_2_41_35_C7_35 evolved,e8,2,41,35_C7,35 evolved,1.7271205713804236,0.9982457631673873
e9_2_41_35_B2_35 evolved,e9,2,41,35_B2,35 evolved,1.74785931679476,0.9968921395618927
f11_2_41_35_B2_35 evolved,f11,2,41,35_B2,35 evolved,2.7034976418918655,0.992192472307084
f2_2_41_35_F6_35 evolved,f2,2,41,35_F6,35 evolved,0.6890411582596778,0.97952004544261
f3_2_41_40_F4_40 evolved,f3,2,41,40_F4,40 evolved,4.297428698729931,0.99405709239865
f4_2_41_40_G11_40 evolved,f4,2,41,40_G11,40 evolved,6.931271472007384,0.9764893930703145
f5_2_41_40_B2_40 evolved,f5,2,41,40_B2,40 evolved,4.011072355625379,0.9922396997812429
f7_2_41_40_F4_40 evolved,f7,2,41,40_F4,40 evolved,4.708394084232828,0.9939203542908864
f8_2_41_35_G9_35 evolved,f8,2,41,35_G9,35 evolved,1.3992021956559804,0.9965449656753526
f9_2_41_35_F6_35 evolved,f9,2,41,35_F6,35 evolved,1.8576931816374944,0.9972442778995393
g3_2_41_35_G9_35 evolved,g3,2,41,35_G9,35 evolved,0.6338688899677736,0.9723476349709362
g5_2_41_40_F4_40 evolved,g5,2,41,40_F4,40 evolved,4.358086862621768,0.9930428118794021
g6_2_41_35_F6_35 evolved,g6,2,41,35_F6,35 evolved,0.8655121908297684,0.9837379466198168
g8_2_41_35_E9_35 evolved,g8,2,41,35_E9,35 evolved,3.1736243237638777,0.7185869893311914
b11_2_35_35_D8_35 evolved,b11,2,35,35_D8,35 evolved,5.73122615975069,0.9976515988079171
b2_2_35_35_E9_35 evolved,b2,2,35,35_E9,35 evolved,6.941163880241267,0.9931216037320506
b3_2_35_40_E9_40 evolved,b3,2,35,40_E9,40 evolved,5.504256666871627,0.9976149297628791
b4_2_35_40_G11_40 evolved,b4,2,35,40_G11,40 evolved,6.438243018612654,0.9974788995144349
b5_2_35_40_E11_40 evolved,b5,2,35,40_E11,40 evolved,6.814304616044037,0.9955458715339529
b8_2_35_35_B2_35 evolved,b8,2,35,35_B2,35 evolved,5.666970067812782,0.9976161606146369
b9_2_35_fRS585_fRS585,b9,2,35,fRS585,fRS585,6.85837949238096,0.9952713472944807
c11_2_35_35_C7_35 evolved,c11,2,35,35_C7,35 evolved,5.719354858859806,0.9974991512550383
c2_2_35_40_B2_40 evolved,c2,2,35,40_B2,40 evolved,6.120072851285844,0.9975649613575167
c3_2_35_40_G11_40 evolved,c3,2,35,40_G11,40 evolved,7.603331457241792,0.9718346016845292
c4_2_35_40_E11_40 evolved,c4,2,35,40_E11,40 evolved,6.485243185732345,0.9963602363302115
c5_2_35_40_E9_40 evolved,c5,2,35,40_E9,40 evolved,5.159161177084875,0.997399403618632
c9_2_35_fRS585_fRS585,c9,2,35,fRS585,fRS585,6.8520787798628735,0.9950457570184832
d10_2_35_35_E9_35 evolved,d10,2,35,35_E9,35 evolved,5.779550406517999,0.9975193934597091
d11_2_35_40_B2_40 evolved,d11,2,35,40_B2,40 evolved,6.31926406860616,0.9976134748007488
d2_2_35_40_C9_40 evolved,d2,2,35,40_C9,40 evolved,5.869650753742464,0.9976085663194041
d3_2_35_35_D8_35 evolved,d3,2,35,35_D8,35 evolved,5.77767845873418,0.9976169584036019
d4_2_35_35_D8_35 evolved,d4,2,35,35_D8,35 evolved,4.962777012979279,0.9964789139343019
d5_2_35_40_E9_40 evolved,d5,2,35,40_E9,40 evolved,5.330034860318519,0.9974572642598152
d6_2_35_35_G9_35 evolved,d6,2,35,35_G9,35 evolved,5.756882546239282,0.9977006484026029
d8_2_35_40_C9_40 evolved,d8,2,35,40_C9,40 evolved,7.1450625157874494,0.9961404792135582
d9_2_35_40_C9_40 evolved,d9,2,35,40_C9,40 evolved,6.060031412962006,0.9976438150477716
e10_2_35_fRS585_fRS585,e10,2,35,fRS585,fRS585,5.747589798296246,0.9976545707957372
e11_2_35_40_E11_40 evolved,e11,2,35,40_E11,40 evolved,6.873393831889451,0.9785417037746877
e3_2_35_35_C7_35 evolved,e3,2,35,35_C7,35 evolved,5.759879898201194,0.9975641863574095
e8_2_35_35_C7_35 evolved,e8,2,35,35_C7,35 evolved,5.66212335794597,0.9974870909106445
e9_2_35_35_B2_35 evolved,e9,2,35,35_B2,35 evolved,5.890445319167452,0.9975642871060884
f11_2_35_35_B2_35 evolved,f11,2,35,35_B2,35 evolved,5.753086921260535,0.9973269603371843
f2_2_35_35_F6_35 evolved,f2,2,35,35_F6,35 evolved,6.369088970859514,0.9956955596343509
f3_2_35_40_F4_40 evolved,f3,2,35,40_F4,40 evolved,5.59430139054867,0.9977308203465952
f4_2_35_40_G11_40 evolved,f4,2,35,40_G11,40 evolved,6.633391513643438,0.997727948135138
f5_2_35_40_B2_40 evolved,f5,2,35,40_B2,40 evolved,6.178453084278739,0.9974345488292127
f7_2_35_40_F4_40 evolved,f7,2,35,40_F4,40 evolved,5.612872715798268,0.9978492556373731
f8_2_35_35_G9_35 evolved,f8,2,35,35_G9,35 evolved,6.848870844770703,0.9667488689142613
f9_2_35_35_F6_35 evolved,f9,2,35,35_F6,35 evolved,5.6879079526751894,0.9974225101198115
g3_2_35_35_G9_35 evolved,g3,2,35,35_G9,35 evolved,5.739826942603053,0.997556805669327
g5_2_35_40_F4_40 evolved,g5,2,35,40_F4,40 evolved,7.130658371421623,0.9938439743496743
g6_2_35_35_F6_35 evolved,g6,2,35,35_F6,35 evolved,5.833570662719827,0.9975455400834395
g8_2_35_35_E9_35 evolved,g8,2,35,35_E9,35 evolved,5.749613995767276,0.9975328702695452
b11_2_25_35_D8_35 evolved,b11,2,25,35_D8,35 evolved,3.596008073198352,0.9962661224773669
b2_2_25_35_E9_35 evolved,b2,2,25,35_E9,35 evolved,6.8449163392121,0.9672930791308392
b3_2_25_40_E9_40 evolved,b3,2,25,40_E9,40 evolved,3.6401459126492117,0.9968397389349813
b4_2_25_40_G11_40 evolved,b4,2,25,40_G11,40 evolved,3.6633378963529184,0.9969330843575626
b5_2_25_40_E11_40 evolved,b5,2,25,40_E11,40 evolved,3.536525023322731,0.9963387923776954
b8_2_25_35_B2_35 evolved,b8,2,25,35_B2,35 evolved,3.3515052741738414,0.9959195356315638
b9_2_25_fRS585_fRS585,b9,2,25,fRS585,fRS585,3.3150825079485147,0.9957698132780851
c11_2_25_35_C7_35 evolved,c11,2,25,35_C7,35 evolved,3.679889491183897,0.9964819405405146
c2_2_25_40_B2_40 evolved,c2,2,25,40_B2,40 evolved,3.288612015024338,0.9967806191847458
