rep.id,n_min,status,n_points_selected,r_final,r_se_final,converged,time_max_used,note
e8_2_41_35_C7_35 evolved,15,success,18,2.325675198917245,0.15577144151498057,TRUE,0.17708333333333334,Selected first 18 of 97 available points
e8_2_42_35_C7_35 evolved,15,success,21,2.42017049881635,0.09172055308580229,TRUE,0.20833333333333337,Selected first 21 of 97 available points
e9_1_41_40_D2_40 evolved,15,success,18,2.0157438229228255,0.14198177559467526,TRUE,0.17708333333333334,Selected first 18 of 97 available points
e9_1_42_40_D2_40 evolved,15,success,18,2.0936643551494196,0.13324221208282122,TRUE,0.17708333333333334,Selected first 18 of 97 available points
e9_2_41_35_B2_35 evolved,15,success,18,2.2839715005656234,0.15660897857882228,TRUE,0.17708333333333334,Selected first 18 of 97 available points
e9_2_42_35_B2_35 evolved,15,success,20,1.4008848012802952,0.060537418612458996,TRUE,0.19791666666666663,Selected first 20 of 97 available points
f10_1_41_40_F2_40 evolved,15,success,17,2.059997243791817,0.13594734813700166,TRUE,0.16666666666666666,Selected first 17 of 97 available points
f10_1_42_40_F2_40 evolved,15,success,18,1.9261100573574992,0.09297141660027738,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f11_1_41_fRS585_fRS585,15,success,17,2.1716638840029034,0.1533800080669738,TRUE,0.16666666666666666,Selected first 17 of 97 available points
f11_1_42_fRS585_fRS585,15,success,18,1.8014181463825951,0.08135714418249815,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f11_2_41_35_B2_35 evolved,15,success,18,2.418967636812467,0.1605601578358697,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f11_2_42_35_B2_35 evolved,15,success,17,1.296935561215116,0.05561817018851926,TRUE,0.16666666666666666,Selected first 17 of 97 available points
f11_3_41_35_F2_35 evolved,15,success,18,2.445745379053428,0.14953050198662982,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f11_3_42_35_F2_35 evolved,15,success,17,1.3233443470640986,0.058593924019279583,TRUE,0.16666666666666666,Selected first 17 of 97 available points
f2_1_41_35_G5_35 evolved,15,success,18,2.0140919979038494,0.1207180854169818,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f2_1_42_35_G5_35 evolved,15,success,17,1.6440035529643093,0.0691233900633819,TRUE,0.16666666666666666,Selected first 17 of 97 available points
f2_2_41_35_F6_35 evolved,15,success,20,2.52797008335478,0.14820360299254287,TRUE,0.19791666666666663,Selected first 20 of 97 available points
f2_2_42_35_F6_35 evolved,15,success,22,1.2974382625449115,0.04256486397874124,TRUE,0.21875,Selected first 22 of 97 available points
f2_3_41_40_F6_40 evolved,15,success,17,3.0674336340918225,0.1842627303698004,TRUE,0.16666666666666666,Selected first 17 of 97 available points
f2_3_42_40_F6_40 evolved,15,success,18,1.5293077608198924,0.0338396808328013,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f3_1_41_40_D4_40 evolved,15,success,18,2.1533721048960546,0.13685487512853162,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f3_1_42_40_D4_40 evolved,15,success,18,1.8741976795298938,0.1373176132441235,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f3_2_41_40_F4_40 evolved,15,success,17,2.434592399367329,0.14035419321778114,TRUE,0.16666666666666666,Selected first 17 of 97 available points
f3_2_42_40_F4_40 evolved,15,success,18,1.4267135548731773,0.06408671365205501,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f3_3_41_35_E7_35 evolved,15,success,19,2.5927548436953747,0.16439411634803178,TRUE,0.1875,Selected first 19 of 97 available points
f3_3_42_35_E7_35 evolved,15,success,18,1.238605166525774,0.03572287006799942,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f4_1_41_35_D4_35 evolved,15,success,18,2.019535333798783,0.128865312822883,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f4_1_42_35_D4_35 evolved,15,success,20,1.8959722031486577,0.09301826619816493,TRUE,0.19791666666666663,Selected first 20 of 97 available points
f4_2_41_40_G11_40 evolved,15,success,17,3.0500910774610834,0.15387642188913314,TRUE,0.16666666666666666,Selected first 17 of 97 available points
f4_2_42_40_G11_40 evolved,15,success,17,1.0668480601618842,0.08372163934602088,TRUE,0.16666666666666666,Selected first 17 of 97 available points
f4_3_41_40_C5_40 evolved,15,success,19,2.828331901210725,0.18071371419127547,TRUE,0.1875,Selected first 19 of 97 available points
f4_3_42_40_C5_40 evolved,15,success,20,1.324578740596745,0.04572733061033977,TRUE,0.19791666666666663,Selected first 20 of 97 available points
f5_1_41_35_B6_35 evolved,15,success,17,1.8528489276231326,0.10790167951320928,TRUE,0.16666666666666666,Selected first 17 of 97 available points
f5_1_42_35_B6_35 evolved,15,success,25,1.9608221087522748,0.06636344149845418,TRUE,0.25,Selected first 25 of 97 available points
f5_2_41_40_B2_40 evolved,15,success,19,2.4913702508377926,0.13846254300517497,TRUE,0.1875,Selected first 19 of 97 available points
f5_2_42_40_B2_40 evolved,15,success,18,1.5999235287664635,0.05659180317605862,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f5_3_41_40_D8_40 evolved,15,success,18,2.4711105518094065,0.16682709462871506,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f5_3_42_40_D8_40 evolved,15,success,22,1.3851855131537107,0.04929500919783838,TRUE,0.21875,Selected first 22 of 97 available points
f6_1_41_40_B8_40 evolved,15,success,18,2.1789710311188535,0.12428902706015015,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f6_1_42_40_B8_40 evolved,15,success,20,1.864702011936072,0.08819251443454487,TRUE,0.19791666666666663,Selected first 20 of 97 available points
f7_1_41_40_C7_40 evolved,15,success,18,2.103436791668076,0.14508324429385158,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f7_1_42_40_C7_40 evolved,15,success,18,1.883407243133535,0.08412218897858684,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f7_2_41_40_F4_40 evolved,15,success,17,2.6233902355731873,0.15089293437771428,TRUE,0.16666666666666666,Selected first 17 of 97 available points
f7_2_42_40_F4_40 evolved,15,success,16,1.3217493491372145,0.08073746648000693,TRUE,0.15625,Selected first 16 of 97 available points
f7_3_41_35_D2_35 evolved,15,success,18,2.4035729413800646,0.1535910780609673,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f7_3_42_35_D2_35 evolved,15,success,21,1.3320199226836758,0.03859605284686681,TRUE,0.20833333333333337,Selected first 21 of 97 available points
f8_2_41_35_G9_35 evolved,15,success,18,2.2790984107671344,0.14188878769823088,TRUE,0.17708333333333334,Selected first 18 of 97 available points
f8_2_42_35_G9_35 evolved,15,success,20,1.2444715252528475,0.041056039810227186,TRUE,0.19791666666666663,Selected first 20 of 97 available points
f8_3_41_40_G5_40 evolved,15,success,20,2.2776948685913707,0.1479700879243933,TRUE,0.19791666666666663,Selected first 20 of 97 available points
f8_3_42_40_G5_40 evolved,15,success,16,0.9879830584115391,0.04384221435938969,TRUE,0.15625,Selected first 16 of 97 available points
f9_2_41_35_F6_35 evolved,15,success,18,2.4407449938554326,0.145011227203992,TRUE,0.17708333333333334,Selected first 18 of 97 available points
