unique_id,well,test_temperature,treatment,mu,best_model,se,R2,n_obs
A1_40.5_water,A1,40.5,water,10.25159950528759,gr.lagsat,2.1500434221869114,0.9708262292090618,21
A1_40_water,A1,40,water,20.16617192455606,gr.lagsat,166356.33724927175,0.9987095636921255,18
A1_41_water,A1,41,water,21.07240056880335,gr.lagsat,252291.8995723377,0.9977388071123741,20
A1_42_water,A1,42,water,-0.007370669253563981,gr.flr,0.003128795438751204,0.15298988730944374,37
A2_30_water,A2,30,water,0.03251522917844474,gr.lagsat,0.0027460193579629975,0.878949271722532,59
A2_34_fRS585,A2,34,fRS585,9.143288821229405,gr.sat,0.19982528765108704,0.9861517483041181,40
A2_37_water,A2,37,water,2.0404949990205647,gr.lag,0.16440494834838354,0.8499701701194431,20
A2_40.5_water,A2,40.5,water,17.66207107093237,gr.lagsat,68652.98541606704,0.9887097900315452,20
A2_40_water,A2,40,water,0.5853634210480375,gr.lag,0.04231611363711053,0.8564536564203276,45
A2_41_water,A2,41,water,20.032761462391065,gr.lagsat,236252.88196326676,0.9959035899036418,20
A2_42_water,A2,42,water,-0.010777973699617749,gr.flr,0.0035323690485239033,0.24811708812122413,29
A3_25_water,A3,25,water,0.0674787206470305,gr.lagsat,0.012663611438526462,0.6086814748041235,54
A3_30_water,A3,30,water,0.03433716985376505,gr.lagsat,0.0020309501114838674,0.9200034994493359,64
A3_34_fRS585,A3,34,fRS585,10.831795766759901,gr.lagsat,0.18389457502983322,0.9959546255669159,39
A3_37_water,A3,37,water,0.8784529842597719,gr.lag,0.07567049139030992,0.8250356631885883,36
A3_40.5_water,A3,40.5,water,9.258426152394037,gr.lagsat,2.062753849511889,0.9662866557311627,21
A3_40_water,A3,40,water,12.768682727882284,gr.lagsat,2.3180759409369283,0.9680681386273912,19
A3_41_water,A3,41,water,19.464922076429456,gr.lagsat,245786.2795890336,0.9942606284136585,20
A3_42_water,A3,42,water,-4.491928625181852e-4,gr,5.671925995877724e-4,0.0065587813365467484,97
A4_25_water,A4,25,water,0.02299047838697301,gr,0.0033937391221189363,0.3453341568614303,89
A4_30_water,A4,30,water,0.019399661416878378,gr.sat,0.001283756956339794,0.8390321185287655,70
A4_34_fRS585,A4,34,fRS585,9.047159349515274,gr.sat,0.20739682896251424,0.9851600955433049,40
A4_37_water,A4,37,water,1.3704513976070618,gr.lag,0.10840523421073785,0.8531820920035499,25
A4_40.5_water,A4,40.5,water,12.250193390864977,gr.lagsat,1.6447556837037716,0.9822268264576983,20
A4_40_water,A4,40,water,16.15440021327312,gr.lagsat,15242.179786783949,0.9699348780854096,18
A4_41_water,A4,41,water,18.70381739121869,gr.lagsat,61769.720681458966,0.9945583795169475,20
A4_42_water,A4,42,water,-0.3184039729531423,gr.flr,0.0802354707731089,0.34088373029510644,12
A5_25_water,A5,25,water,0.01656949770130718,gr,0.004404334834074549,0.13991939856296087,89
A5_30_water,A5,30,water,0.019387976483377617,gr.sat,0.0011113277513701784,0.8689287421215404,74
A5_34_fRS585,A5,34,fRS585,9.002167781347566,gr.sat,0.19601978189461822,0.9864144090093483,40
A5_37_water,A5,37,water,18.149350460789634,gr.lagsat,6225.101483276602,0.9832585758736699,20
A5_40.5_water,A5,40.5,water,8.346686413556952,gr.lagsat,0.9267810482167235,0.9763063537725092,21
A5_40_water,A5,40,water,16.66000768670252,gr.lagsat,5019.214613352851,0.9954032151175123,18
A5_41_water,A5,41,water,12.517616043114435,gr.lagsat,1.43113317166668,0.9864288627701857,21
A5_42_water,A5,42,water,-0.011064963738208672,gr.flr,0.0015234873723641766,0.6094626625203794,46
A6_25_water,A6,25,water,0.001812822362176801,gr,0.0033231943151210567,0.0034087632455446215,89
A6_30_water,A6,30,water,0.037712654299535,gr.lagsat,0.007984849512682201,0.7186442857315717,41
