pop_rep,IC50,IC50_lower,IC50_upper,n_boot
40_E9_Rep2_Plate2_fluconazole,24.49359216343334,19.729441818688002,29.420762635463777,5000
40_E11_Rep2_Plate2_fluconazole,29.599457908244386,20.330854316036923,40.798996039363885,5000
fRS585_Rep2_Plate2_fluconazole,32.11924544927902,25.065749785406727,42.7747576779007,5000
40_D2_Rep1_Plate2_fluconazole,30.17196527712916,24.24015689632948,38.64702910553985,4929
40_D4_Rep1_Plate2_fluconazole,23.148649489612694,17.788416441882283,30.239802892195385,4988
40_D8_Rep1_Plate2_fluconazole,17.780650724285696,11.141369062794336,25.585945183925716,5000
40_E7_Rep1_Plate2_fluconazole,42.29925007807697,27.97865938711043,60.60508339594926,5000
40_E9_Rep1_Plate2_fluconazole,30.178295204163337,19.236716735936742,31.281270243341957,3675
40_E11_Rep1_Plate2_fluconazole,66.04600450355748,47.28534562847007,91.85229448055406,4900
fRS585_Rep1_Plate2_fluconazole,34.17105496637668,27.951112484883993,43.41130576355569,5000
40_B2_Rep3_Plate1_fluconazole,23.578595966670445,19.40809129760139,27.561196796893025,5000
40_B6_Rep3_Plate1_fluconazole,23.764215220013273,19.647890123393424,28.262023003972438,5000
40_B8_Rep3_Plate1_fluconazole,21.42038747077602,16.92434532151718,27.229194878631432,5000
40_C5_Rep3_Plate1_fluconazole,21.74506277227972,14.110247369995468,31.4265459938362,5000
40_C7_Rep3_Plate1_fluconazole,25.443370907012614,22.979879887290657,28.73696225624832,5000
40_C9_Rep3_Plate1_fluconazole,52.25037879529231,43.184308906709425,63.42156874577677,5000
fRS585_Rep3_Plate1_fluconazole,34.725720380844614,25.45691268631191,46.561123652078436,4999
40_B2_Rep2_Plate1_fluconazole,18.273137158124566,16.83066204039284,20.87641837966278,5000
40_B6_Rep2_Plate1_fluconazole,26.332623555938945,20.718389867239182,31.214323385852577,4456
40_B8_Rep2_Plate1_fluconazole,27.470419475203457,22.452010266040908,32.57033566694758,4963
40_C5_Rep2_Plate1_fluconazole,26.85447197465336,22.247646818396177,31.619620851255185,5000
40_C7_Rep2_Plate1_fluconazole,25.92528355813729,22.931341960018393,31.11031885405076,4975
40_C9_Rep2_Plate1_fluconazole,40.83471809943258,31.386505629277273,55.75427376120999,5000
fRS585_Rep2_Plate1_fluconazole,31.94222410554757,25.014021593654427,41.384641324030945,5000
40_B2_Rep1_Plate1_fluconazole,20.50285012997334,16.693179189582786,25.076574388514725,5000
40_B6_Rep1_Plate1_fluconazole,30.209428368289313,26.371511580023622,35.0811557710772,4999
40_B8_Rep1_Plate1_fluconazole,25.461880634132726,18.93253591803935,31.69729609212794,4979
40_C5_Rep1_Plate1_fluconazole,26.691900606330385,22.155882362059724,31.37981824800323,4720
40_C7_Rep1_Plate1_fluconazole,27.394474524848384,23.759905482224898,31.02464698483035,4286
40_C9_Rep1_Plate1_fluconazole,65.3977450689634,51.89281673299482,80.35097981407849,5000
fRS585_Rep1_Plate1_fluconazole,33.86265099151873,26.706267241129392,43.80788971949407,5000
40_C9_Rep3_Set4_amphotericine,0.3405767781109286,0.3066453854092692,0.37420159046962315,5000
40_E7_Rep3_Set4_amphotericine,0.46238592071451173,0.2951343372952081,0.4898549334477772,3616
40_E11_Rep3_Set4_amphotericine,0.4648302649877951,0.2833170469787836,0.4857171642431937,3772
40_F6_Rep3_Set4_amphotericine,0.3247620151997708,0.25444360963316676,0.4677710870359329,4440
40_G11_Rep3_Set4_amphotericine,0.3556069227116396,0.26468278056790134,0.47114295361203573,4690
fRS585_Rep3_Set4_amphotericine,0.26474908456137036,0.19246732852851242,0.34175534675445984,4778
40_C9_Rep2_Set4_amphotericine,0.4194780464638591,0.3889039188359769,0.4845205176578288,4940
40_E7_Rep2_Set4_amphotericine,0.3944692565050325,0.35387136591043505,0.4406826686732492,5000
40_F6_Rep2_Set4_amphotericine,0.40840882109168275,0.3647653603833208,0.485769669300784,4910
40_G9_Rep2_Set4_amphotericine,0.5950989259174583,0.5211563471277415,0.6610117121025865,5000
40_G11_Rep2_Set4_amphotericine,0.6204779180356415,0.5172215784960672,0.7266098851566477,4854
fRS585_Rep2_Set4_amphotericine,0.35535492315009515,0.32410298505259544,0.3958812733306325,5000
40_C9_Rep1_Set4_amphotericine,0.5447483404835335,0.5137402910170096,0.6063717358207149,5000
40_E7_Rep1_Set4_amphotericine,0.49550696179723547,0.4442088052091609,0.5250583194867763,3035
40_E11_Rep1_Set4_amphotericine,0.4305667393032636,0.3411255709536738,0.4841727652149746,4299
40_F6_Rep1_Set4_amphotericine,0.3141127487256528,0.2641826171199502,0.3659888373699736,5000
40_G9_Rep1_Set4_amphotericine,0.4974780243618126,0.44950644422302544,0.5381689598780163,4998
40_G11_Rep1_Set4_amphotericine,0.4919924733363096,0.40947149817391354,0.4976624981375022,3465
fRS585_Rep1_Set4_amphotericine,0.3823056564659005,0.28321009876858133,0.4727088126334715,4627
35_F2_Rep3_Set3_amphotericine,0.16632419742809454,0.13396678361070063,0.1851026986642045,4989
35_F4_Rep3_Set3_amphotericine,0.1445380413685033,0.13090422719281378,0.16397709158495294,5000
