strain,evolution_history,th_c,se_th,drug,ic50,se_log_ic50,log_ic50,th_c_c,log_ic50_c
35_E11,35 evolved,41.035626103977336,0.03277564707533907,amphotericin,0.29114138505951404,0.07012375616148779,-1.2339462704910182,0.19673907321492834,0.27619256874507125
35_E11,35 evolved,41.035626103977336,0.03277564707533907,caspofungin,0.014597325626337228,0.11773820284613001,-4.226916943324942,0.19673907321492834,-0.0024619624353769964
35_E11,35 evolved,41.035626103977336,0.03277564707533907,fluconazole,15.75542859898965,0.08405861354979986,2.7571849788372895,0.19673907321492834,0.02785787410029439
40_D2,40 evolved,41.240185526086805,0.09117029106860511,fluconazole,26.81564956602233,0.0678616352702486,3.2889856561214414,-0.18159354259275062,-0.07814952232846162
40_D2,40 evolved,41.240185526086805,0.09117029106860511,caspofungin,0.02384816357864363,0.06262503415806439,-3.7360480634113555,-0.16507961579975472,0.15856428563769853
40_D2,40 evolved,41.240185526086805,0.09117029106860511,amphotericin,0.9191505959765579,0.09784522089899186,-0.08430530065379523,-0.18159354259275062,-0.18122815673043818
40_E11,40 evolved,41.38404059669443,0.025468367432079596,fluconazole,32.97328772083499,0.10107247012792997,3.4956977706693992,-0.037738471985122146,0.12856259221949617
40_E11,40 evolved,41.38404059669443,0.025468367432079596,amphotericin,0.8099258795949106,0.16768199384343238,-0.21081254217559353,-0.037738471985122146,-0.3077353982522365
40_E11,40 evolved,41.38404059669443,0.025468367432079596,caspofungin,0.01764774758267307,0.06704039883415448,-4.037147119458983,-0.021224545192126243,-0.14253477040992912
35_D2,35 evolved,40.937051640987306,0.029650532338260715,amphotericin,0.3134421348838975,0.0790171948575376,-1.160140513668541,0.09816461022489875,0.3499983255675485
35_D2,35 evolved,40.937051640987306,0.029650532338260715,caspofungin,0.012736352279975634,0.0738801761825916,-4.363294990088679,0.09816461022489875,-0.13884000919911443
35_D2,35 evolved,40.937051640987306,0.029650532338260715,fluconazole,17.71027774717808,0.10424735413487643,2.8741451347422373,0.09816461022489875,0.14481803000524218
40_G9,40 evolved,41.70251582416046,0.10445417436098942,fluconazole,69.349933556873,0.12884123939077713,4.239165188676359,0.28073675548090193,0.8720300102264558
40_G9,40 evolved,41.70251582416046,0.10445417436098942,amphotericin,0.985097766257272,0.14140851698084783,-0.015014387651983218,0.28073675548090193,-0.11193724372862617
35_B2,35 evolved,41.08888073597382,0.031939363717148776,amphotericin,0.3001494002576654,0.07033591780987081,-1.2034749274283256,0.24999370521140918,0.30666391180776387
35_B2,35 evolved,41.08888073597382,0.031939363717148776,caspofungin,0.016763258437363975,0.058724429139836526,-4.088565785321017,0.24999370521140918,0.13588919556854773
35_B2,35 evolved,41.08888073597382,0.031939363717148776,fluconazole,18.01991491431173,0.08567225223542561,2.8914775304327365,0.24999370521140918,0.16215042569574134
40_C5,40 evolved,41.34024186534032,0.038284183372019213,fluconazole,25.158254988208306,0.07505903504934228,3.2251860728374653,-0.08153720333923786,-0.1419491056124378
40_C5,40 evolved,41.34024186534032,0.038284183372019213,caspofungin,0.019635703759124806,0.09075520179454956,-3.9304057495203835,-0.06502327654624196,-0.035793400471329395
40_C5,40 evolved,41.34024186534032,0.038284183372019213,amphotericin,1.7530251963003252,0.044490213107811614,0.561342979081853,-0.08153720333923786,0.4644201230052101
35_B8,35 evolved,40.8513349048028,0.1256072532810947,amphotericin,0.3204904035894782,0.09724584132935422,-1.1379029450681908,0.012447874040390161,0.3722358941678987
35_B8,35 evolved,40.8513349048028,0.1256072532810947,caspofungin,0.013593851425174719,0.07754455075956829,-4.298137689558736,0.012447874040390161,-0.07368270866917115
35_B8,35 evolved,40.8513349048028,0.1256072532810947,fluconazole,14.805829987058559,0.08701483644116681,2.6950210212492225,0.012447874040390161,-0.03430608348777264
35_C7,35 evolved,40.99768413302007,0.13629823394905008,amphotericin,0.3396808525607339,0.11808376438439105,-1.0797487711365177,0.1587971022576653,0.4303900680995718
