well,block,test_temperature,strain,evolution_history,window_idx,days_start,days_end,mu,r_squared,window_size
g3,1,38,WT_FLZ_2,Fluconazole evolved,29,0.2916666666666667,0.3229166666666667,9.535610902615346,0.9999275858279374,4
g3,1,41,WT_FLZ_2,Fluconazole evolved,19,0.1875,0.21875,1.9399350985615003,0.999918337903294,4
g3,1,42,WT_FLZ_2,Fluconazole evolved,32,0.3229166666666667,0.3541666666666667,1.3050008237365438,0.9799897681878792,4
g3,2,25,35_G9,35 evolved,35,0.3541666666666667,0.3854166666666667,8.581180248675542,0.9999575031789054,4
g3,2,35,35_G9,35 evolved,25,0.25,0.28125,13.005222259981268,0.9999498947535972,4
g3,2,38,35_G9,35 evolved,23,0.22916666666666663,0.2604166666666667,13.612113413064904,0.9998580487404043,4
g3,2,41,35_G9,35 evolved,23,0.22916666666666663,0.2604166666666667,5.303239382692496,0.9988821956340783,4
g3,2,42,35_G9,35 evolved,24,0.23958333333333337,0.2708333333333333,2.066977503715354,0.9930506133753009,4
g3,3,25,35_E7,35 evolved,38,0.3854166666666667,0.4166666666666667,8.372842932547421,0.9999608072791829,4
g3,3,35,35_E7,35 evolved,22,0.21875,0.25,13.405466700324347,0.999969043145953,4
g3,3,38,35_E7,35 evolved,23,0.22916666666666663,0.2604166666666667,14.169112958108128,0.9998832589861365,4
g3,3,41,35_E7,35 evolved,32,0.3229166666666667,0.3541666666666667,8.995506542453018,0.9908192292326461,4
g3,3,42,35_E7,35 evolved,20,0.19791666666666663,0.22916666666666663,1.7948211164667418,0.9999300972225802,4
g4,1,25,35_B6,35 evolved,37,0.375,0.40625,8.400960258560735,0.9999108432172512,4
g4,1,35,35_B6,35 evolved,22,0.21875,0.25,13.10218470021237,0.999984546334445,4
g4,1,38,35_B6,35 evolved,22,0.21875,0.25,13.760786639781342,0.999981746109516,4
g4,1,41,35_B6,35 evolved,24,0.23958333333333337,0.2708333333333333,4.50386945326149,0.9957548958721228,4
g4,1,42,35_B6,35 evolved,16,0.15625,0.1875,3.0471365282888145,0.9966691150372867,4
g4,3,25,40_C5,40 evolved,37,0.375,0.40625,8.112568297516034,0.999853578780223,4
g4,3,35,40_C5,40 evolved,24,0.23958333333333337,0.2708333333333333,11.944181977687453,0.9999837582415306,4
g4,3,38,40_C5,40 evolved,22,0.21875,0.25,12.23985225312337,0.9999385243682385,4
g4,3,41,40_C5,40 evolved,28,0.28125,0.3125,9.319821244708608,0.9999491248296857,4
g4,3,42,40_C5,40 evolved,24,0.23958333333333337,0.2708333333333333,2.3519846974759204,0.9998799683889807,4
g5,2,25,40_F4,40 evolved,36,0.3645833333333333,0.3958333333333333,7.9520537541698735,0.9999870826400779,4
g5,2,35,40_F4,40 evolved,24,0.23958333333333337,0.2708333333333333,12.042179588499868,0.9999991907696199,4
g5,2,38,40_F4,40 evolved,22,0.21875,0.25,12.32721561706052,0.9999081650414721,4
g5,2,41,40_F4,40 evolved,33,0.3333333333333333,0.3645833333333333,7.903659559823648,0.999966455519364,4
g5,2,42,40_F4,40 evolved,27,0.2708333333333333,0.3020833333333333,3.706933726004555,0.99710456092058,4
g5,3,25,40_F6,40 evolved,36,0.3645833333333333,0.3958333333333333,8.611286941949015,0.9999955031801824,4
g5,3,35,40_F6,40 evolved,23,0.22916666666666663,0.2604166666666667,13.415711327616854,0.9999958740980075,4
g5,3,38,40_F6,40 evolved,22,0.21875,0.25,13.795615459139052,0.999905314688572,4
g5,3,41,40_F6,40 evolved,38,0.3854166666666667,0.4166666666666667,18.818577714326132,0.9184564473706014,4
g5,3,42,40_F6,40 evolved,24,0.23958333333333337,0.2708333333333333,2.4290935457696508,0.9845389913963457,4
g6,1,25,40_D2,40 evolved,39,0.3958333333333333,0.4270833333333333,8.269643964105805,0.9997958710407397,4
g6,1,35,40_D2,40 evolved,24,0.23958333333333337,0.2708333333333333,11.350400920784676,0.9999747056380162,4
g6,1,38,40_D2,40 evolved,24,0.23958333333333337,0.2708333333333333,12.659537754837457,0.9999927697309973,4
g6,1,41,40_D2,40 evolved,54,0.5520833333333334,0.5833333333333334,5.264985646456602,0.9987514146605162,4
g6,1,42,40_D2,40 evolved,27,0.2708333333333333,0.3020833333333333,3.325715932877254,0.9984355986223361,4
g6,2,25,35_F6,35 evolved,36,0.3645833333333333,0.3958333333333333,8.346463539588601,0.9999062159975196,4
