population,evolution_history,rep,set,drug,month,ic50,bot,top,slope,converged,ic50_anc,log_ratio
35_G5,35 evolved,Rep2,Set3,caspofungin,March,0.015066045295099115,0,0.8285999960009761,29.342222312231122,TRUE,0.015027134778114556,0.0037308148250998485
35_G5,35 evolved,Rep2,Set3,fluconazole,March,19.045744013470546,0.07886274603643166,0.9011201405701229,2.285183141142524,TRUE,16.447783493174096,0.21157546807195882
35_G5,35 evolved,Rep3,Set3,amphotericin,March,0.146065969509739,0,0.907590380004259,6.78523394986689,TRUE,0.10751494805039002,0.4420828428297079
35_G5,35 evolved,Rep3,Set3,caspofungin,March,0.016098905258982235,0,0.854639453309783,5.6444605104691625,TRUE,0.014348285105057325,0.1660842695179925
35_G5,35 evolved,Rep3,Set3,fluconazole,March,22.37316789517713,0.06052566702575209,0.8095623622319176,3.1388128934756234,TRUE,7.203146365907107,1.635070422245413
35_G9,35 evolved,Rep1,Set3,amphotericin,March,0.14261858858567797,0,0.9709323736874707,4.266806735634066,TRUE,0.1481693862045639,-0.055085366501837374
35_G9,35 evolved,Rep1,Set3,caspofungin,March,0.014826399607874446,0,0.9395720625800388,6.034748784308561,TRUE,0.011378641418425529,0.38183998748227577
35_G9,35 evolved,Rep1,Set3,fluconazole,March,17.082815093486204,0.08609964674578822,0.8673469734777017,2.7535922495692997,TRUE,18.279246235025568,-0.0976608428445962
35_G9,35 evolved,Rep2,Set3,amphotericin,March,0.10915379027403022,0,0.9527144602288076,2.189855037792639,TRUE,0.09058343949998512,0.2690430021600183
35_G9,35 evolved,Rep2,Set3,caspofungin,March,0.012251804596063837,8.235085840421985e-5,0.8695482767728201,7.969324181934318,TRUE,0.015027134778114556,-0.2945756942937434
35_G9,35 evolved,Rep2,Set3,fluconazole,March,15.980917952675666,0.10319851912098402,0.847776160802718,9.991936307991148,TRUE,16.447783493174096,-0.04154289932763655
35_G9,35 evolved,Rep3,Set3,amphotericin,March,0.1293893426613164,0,0.880543111081483,6.693889014391621,TRUE,0.10751494805039002,0.26718153761108043
35_G9,35 evolved,Rep3,Set3,caspofungin,March,0.0164289108809822,9.996605534090128e-5,0.8006600027667945,23.576926017022362,TRUE,0.014348285105057325,0.19535852560987088
35_G9,35 evolved,Rep3,Set3,fluconazole,March,15.088749785598427,0.09870575691053168,0.8297137619638968,3.514674211588321,TRUE,7.203146365907107,1.0667741480160617
40_B2,40 evolved,Rep1,Plate1,fluconazole,February,19.396489328891032,0.021510318414066195,1.030674584105552,2.4916309180548337,TRUE,27.72601745968614,-0.5154448486460836
40_B2,40 evolved,Rep1,Set1,amphotericin,January,1.9642028929129802,0.0016333315848589972,1.1287250039403087,28.65966351506984,TRUE,1.900500760447992,0.04756435849051888
40_B2,40 evolved,Rep1,Set1,caspofungin,January,0.021413613968500583,3.805995096162716e-4,1.1184395977270944,14.137452118290064,TRUE,0.025414762769768104,-0.24713846479832213
40_B2,40 evolved,Rep2,Plate1,fluconazole,February,16.53250377227793,0.02848048317644515,1.068325741664695,2.5490470686752538,TRUE,25.489513137901344,-0.6245985866871502
40_B2,40 evolved,Rep2,Set1,amphotericin,January,1.6749508460781801,0,1.1069353897539462,5.817448102409864,TRUE,1.8730394871393123,-0.16126255642180998
40_B2,40 evolved,Rep2,Set1,caspofungin,January,0.029301333553692542,0,1.0708373707930692,5.670026140232201,TRUE,0.025640289839203082,0.19255375530449204
40_B2,40 evolved,Rep3,Plate1,fluconazole,February,21.97925631188303,0.0345541493806139,0.9396174560894395,5.282943626608779,TRUE,28.361293525804843,-0.3677807615158679
40_B2,40 evolved,Rep3,Set1,amphotericin,January,1.8612176562661509,0.001999998034047779,1.112137503062638,25.856756894935803,TRUE,1.478971118308755,0.3316528988349793
40_B2,40 evolved,Rep3,Set1,caspofungin,January,0.03062881654163543,5.199996502304007e-4,1.1282833514217856,29.36976196603022,TRUE,0.004439944085689679,2.78627621085621
40_B6,40 evolved,Rep1,Plate1,fluconazole,February,28.52209888151462,0.016321878674848432,0.9239306379738853,3.8777726021904013,TRUE,27.72601745968614,0.040839746758936535
40_B6,40 evolved,Rep1,Set1,amphotericin,January,0.9055855668296344,0,0.8463737585072948,2.5965541676578106,TRUE,1.900500760447992,-1.0694567325904525
40_B6,40 evolved,Rep1,Set1,caspofungin,January,0.02789778212109918,8.59995006050997e-4,0.8915333220535032,32.62598706580792,TRUE,0.025414762769768104,0.13448366785542998
40_B6,40 evolved,Rep2,Plate1,fluconazole,February,25.095376480385397,0.029538423516989064,0.8547230434941339,8.045689768718269,TRUE,25.489513137901344,-0.022482227901537755
40_B6,40 evolved,Rep2,Set1,amphotericin,January,0.7242946282037772,0,0.9196234878393671,2.3689134729052066,TRUE,1.8730394871393123,-1.3707327340073068
40_B6,40 evolved,Rep2,Set1,caspofungin,January,0.017274276583980976,9.653458147217736e-4,0.8762594182739211,10.526201158814256,TRUE,0.025640289839203082,-0.5697872759775384
40_B6,40 evolved,Rep3,Plate1,fluconazole,February,22.132391344171413,0.01666228601386037,0.7928434044751265,3.986861506323918,TRUE,28.361293525804843,-0.3577639949284128
40_B6,40 evolved,Rep3,Set1,amphotericin,January,0.6978308855890439,0,0.7962342166165062,2.4823894709208676,TRUE,1.478971118308755,-1.0836445225272222
40_B6,40 evolved,Rep3,Set1,caspofungin,January,0.017413097928852272,0.005131599823201826,0.8274690357052801,4.645053469304994,TRUE,0.004439944085689679,1.971559479501833
40_B8,40 evolved,Rep1,Plate1,fluconazole,February,23.06797204965537,0.05870116205163611,1.0101189432644508,4.3653091244991495,TRUE,27.72601745968614,-0.2653492243704756
40_B8,40 evolved,Rep1,Set1,amphotericin,January,1.5826756172384775,0,1.112241304588209,3.3672180586388984,TRUE,1.900500760447992,-0.264014009250514
40_B8,40 evolved,Rep1,Set1,caspofungin,January,0.016109068407125077,0.006531656762883233,1.0864403518660106,17.616303926474146,TRUE,0.025414762769768104,-0.6577936993174847
40_B8,40 evolved,Rep2,Plate1,fluconazole,February,25.33485217050158,0.05925431518202069,1.0043018454807613,4.740032575338643,TRUE,25.489513137901344,-0.008780406723059464
40_B8,40 evolved,Rep2,Set1,amphotericin,January,1.4159872498702177,0,1.1123344868711997,3.887748594239106,TRUE,1.8730394871393123,-0.40357303972168324
40_B8,40 evolved,Rep2,Set1,caspofungin,January,0.01812430146639936,0.0027390198700044544,1.099868482653483,5.81393681294909,TRUE,0.025640289839203082,-0.5004871774508564
40_B8,40 evolved,Rep3,Plate1,fluconazole,February,19.156077581218874,0.01992483799197212,0.9819708522466385,1.776615575239734,TRUE,28.361293525804843,-0.5661211501848209
40_B8,40 evolved,Rep3,Set1,amphotericin,January,1.367499509786993,0,1.060744705933334,4.430366150829427,TRUE,1.478971118308755,-0.11305356357920276
40_B8,40 evolved,Rep3,Set1,caspofungin,January,0.01877341977397074,9.171925925668132e-4,0.9791634286932672,9.252848997667455,TRUE,0.004439944085689679,2.0800780627744997
40_C5,40 evolved,Rep1,Plate1,fluconazole,February,25.79113264743279,0.02790974988488552,0.87211752986048785,7.136578505399053,TRUE,27.72601745968614,-0.10436527169506515
40_C5,40 evolved,Rep1,Set1,amphotericin,January,2.002016336484274,0,1.1025609372599614,2.819965915599927,TRUE,1.900500760447992,0.07507414416975489
40_C5,40 evolved,Rep1,Set1,caspofungin,January,0.01768213401718741,8.105129974531667e-4,1.063943140182079,13.331711802750283,TRUE,0.025414762769768104,-0.5233743633589159
40_C5,40 evolved,Rep2,Plate1,fluconazole,February,25.640710943655804,0.010020921513979252,1.02480044943311,3.4791066762232346,TRUE,25.489513137901344,0.008532446876465372
40_C5,40 evolved,Rep2,Set1,amphotericin,January,1.6223900907023547,0,1.1541010845104038,4.35011292442435,TRUE,1.8730394871393123,-0.20726056885178734
40_C5,40 evolved,Rep2,Set1,caspofungin,January,0.02856800927747025,6.60001349162011e-4,1.1246500167941924,31.63135416965737,TRUE,0.025640289839203082,0.15598793720189885
40_C5,40 evolved,Rep3,Plate1,fluconazole,February,20.45519853017685,0,1.0173862648222325,1.651165548778694,TRUE,28.361293525804843,-0.47145579420154426
40_C5,40 evolved,Rep3,Set1,amphotericin,January,1.7573629122179522,0,1.100130720964724,6.631509034945109,TRUE,1.478971118308755,0.24881827298333337
40_C5,40 evolved,Rep3,Set1,caspofungin,January,0.01727762473655931,0,0.9566717125411752,4.742310526083668,TRUE,0.004439944085689679,1.9602914815340968
40_C7,40 evolved,Rep1,Plate1,fluconazole,February,29.41077080532088,0.03114999667656031,0.8650428978235242,24.430919930699588,TRUE,27.72601745968614,0.08510419142116188
40_C7,40 evolved,Rep1,Set1,amphotericin,January,0.8081289518965102,0,0.9266712175668543,3.1030731970878582,TRUE,1.900500760447992,-1.2337221773739755
40_C7,40 evolved,Rep2,Plate1,fluconazole,February,24.43393718382523,0.029384839874185477,0.7978229416865281,5.880568267654629,TRUE,25.489513137901344,-0.061017465183050845
40_C7,40 evolved,Rep2,Set1,amphotericin,January,0.6700096223825474,0,0.8545812883844784,1.9817158856991028,TRUE,1.8730394871393123,-1.4831275944019944
40_C7,40 evolved,Rep2,Set1,caspofungin,January,0.016015334988744245,5.99997346010367e-4,1.0085000041980727,26.448940125159805,TRUE,0.025640289839203082,-0.6789585954320305
40_C7,40 evolved,Rep3,Plate1,fluconazole,February,23.677054047305678,0.02521070737606102,0.9350530583416489,4.1859280635270295,TRUE,28.361293525804843,-0.2604337449824108
40_C7,40 evolved,Rep3,Set1,amphotericin,January,0.8621595104933735,0.08573812136031268,0.9196358419937601,5.217704362713835,TRUE,1.478971118308755,-0.7785671633443692
40_C7,40 evolved,Rep3,Set1,caspofungin,January,0.015954405076085844,6.166609338747085e-4,0.8235599822364987,25.5900923582539,TRUE,0.004439944085689679,1.845341399692284
40_C9,40 evolved,Rep1,Plate1,fluconazole,February,65.29707152684313,0,0.9473328385869448,1.2891569085008168,TRUE,27.72601745968614,1.2357778867350016
40_C9,40 evolved,Rep1,Set1,amphotericin,January,1.8435338925095808,0,1.0174000025237384,5.03624115644815,TRUE,1.900500760447992,-0.043905662515982935
40_C9,40 evolved,Rep1,Set1,caspofungin,January,0.02695516193384917,1.8874158099601475e-4,0.950856326899199,7.505790531456658,TRUE,0.025414762769768104,0.08489481239160934
40_C9,40 evolved,Rep1,Set4,amphotericin,March,0.5225074656019982,0,0.8796982225203437,5.651636405600606,TRUE,0.3533011628962256,0.5645531527205003
40_C9,40 evolved,Rep1,Set4,caspofungin,March,0.01577956524065415,0,0.9091200069731822,29.499796936942253,TRUE,0.014057203970631427,0.1667477910791746
40_C9,40 evolved,Rep1,Set4,fluconazole,March,31.87428848163147,0.09189013366501139,0.9174448122348186,2.2199962860192226,TRUE,12.072223355682658,1.4007017341455001
40_C9,40 evolved,Rep2,Plate1,fluconazole,February,30.53714918808924,0.09546283081259191,0.9471976751761102,2.535159048609507,TRUE,25.489513137901344,0.26066156740690793
40_C9,40 evolved,Rep2,Set1,amphotericin,January,1.5726410664265427,0,0.8815814739098,5.921018094799441,TRUE,1.8730394871393123,-0.25219188144956817
40_C9,40 evolved,Rep2,Set1,caspofungin,January,0.029338675460970066,7.199994537277361e-4,1.0044499788643735,29.760348454600823,TRUE,0.025640289839203082,0.194391169473894
