time,well,OD,treatment,test_temperature
59708.7,C2,0.05090000107884407,water,41
59708.7,C3,0.052400000393390656,water,41
59708.7,C4,0.051100000739097595,water,41
59708.7,C5,0.05260000005364418,water,41
59708.7,C6,0.051600001752376556,water,41
59708.7,C7,0.05090000107884407,water,41
59708.7,C8,0.052299998700618744,water,41
59708.7,C9,0.052299998700618744,water,41
59708.7,C10,0.05139999836683273,water,41
59708.7,C11,0.04969999939203262,water,41
59708.7,C12,0.05130000039935112,water,41
59708.7,D1,0.05130000039935112,water,41
59708.7,D2,0.05139999836683273,water,41
59708.7,D3,0.05050000175833702,water,41
59708.7,D4,0.050200000405311584,water,41
59708.7,D5,0.04989999905228615,water,41
59708.7,D6,0.05050000175833702,water,41
59708.7,D7,0.050999999046325684,water,41
59708.7,D8,0.051500000059604645,water,41
59708.7,D9,0.051899999380111694,water,41
59708.7,D10,0.050999999046325684,water,41
59708.7,D11,0.0502999983727932,water,41
59708.7,D12,0.050200000405311584,water,41
59708.7,E1,0.05209999904036522,water,41
59708.7,E2,0.04989999905228615,water,41
59708.7,E3,0.051100000739097595,water,41
59708.7,E4,0.050700001418590546,water,41
59708.7,E5,0.0502999983727932,water,41
59708.7,E6,0.050599999725818634,water,41
59708.7,E7,0.05119999870657921,water,41
59708.7,E8,0.0502999983727932,water,41
59708.7,E9,0.050200000405311584,water,41
59708.7,E10,0.049800001084804535,water,41
59708.7,E11,0.050200000405311584,water,41
59708.7,E12,0.050200000405311584,water,41
59708.7,F1,0.052299998700618744,water,41
59708.7,F2,0.050599999725818634,water,41
59708.7,F3,0.050999999046325684,water,41
59708.7,F4,0.051600001752376556,water,41
59708.7,F5,0.050700001418590546,water,41
59708.7,F6,0.04989999905228615,water,41
59708.7,F7,0.04969999939203262,water,41
59708.7,F8,0.051600001752376556,water,41
59708.7,F9,0.05009999871253967,water,41
59708.7,F10,0.05079999938607216,water,41
59708.7,F11,0.05079999938607216,water,41
59708.7,F12,0.05040000006556511,water,41
59708.7,G1,0.051600001752376556,water,41
59708.7,G2,0.04989999905228615,water,41
59708.7,G3,0.05079999938607216,water,41
59708.7,G4,0.05040000006556511,water,41
59708.7,G5,0.04969999939203262,water,41
59708.7,G6,0.04960000142455101,water,41
59708.7,G7,0.049800001084804535,water,41
59708.7,G8,0.05000000074505806,water,41
59708.7,G9,0.051500000059604645,water,41
59708.7,G10,0.05139999836683273,water,41
59708.7,G11,0.05000000074505806,water,41
59708.7,G12,0.05079999938607216,water,41
59708.7,H1,0.05220000073313713,water,41
59708.7,H2,0.05040000006556511,water,41
60688.1,A1,0.10119999945163727,fRS585,41
60688.1,A2,0.09449999779462814,fRS585,41
60688.1,A3,0.08969999849796295,fRS585,41
60688.1,A4,0.09160000085830688,fRS585,41
60688.1,A5,0.08869999647140503,fRS585,41
60688.1,A6,0.0868000015616417,fRS585,41
60688.1,A7,0.08760000020265579,fRS585,41
60688.1,A8,0.08980000019073486,fRS585,41
60688.1,A9,0.09059999883174896,fRS585,41
60688.1,A10,0.0989999994635582,fRS585,41
60688.1,A11,0.09730000048875809,fRS585,41
60688.1,A12,0.12080000340938568,fRS585,41
60688.1,B1,0.06759999692440033,blank,41
60688.1,B2,0.0689999982714653,blank,41
60688.1,B3,0.07159999758005142,blank,41
60688.1,B4,0.0697999969124794,blank,41
60688.1,B5,0.07079999893903732,blank,41
60688.1,B6,0.07109999656677246,blank,41
60688.1,B7,0.0681999996304512,blank,41
60688.1,B8,0.06870000064373016,blank,41
60688.1,B9,0.06840000301599503,blank,41
60688.1,B10,0.06610000133514404,blank,41
60688.1,B11,0.0706000030040741,blank,41
60688.1,B12,0.07010000199079514,blank,41
60688.1,C1,0.05249999836087227,water,41
60688.1,C2,0.05090000107884407,water,41
60688.1,C3,0.05209999904036522,water,41
60688.1,C4,0.050999999046325684,water,41
60688.1,C5,0.05220000073313713,water,41
60688.1,C6,0.051600001752376556,water,41
60688.1,C7,0.050999999046325684,water,41
60688.1,C8,0.05290000140666962,water,41
60688.1,C9,0.05209999904036522,water,41
60688.1,C10,0.051899999380111694,water,41
60688.1,C11,0.049800001084804535,water,41
60688.1,C12,0.050599999725818634,water,41
60688.1,D1,0.05180000141263008,water,41
60688.1,D2,0.051600001752376556,water,41
60688.1,D3,0.05090000107884407,water,41
60688.1,D4,0.05040000006556511,water,41
60688.1,D5,0.050200000405311584,water,41
60688.1,D6,0.05079999938607216,water,41
60688.1,D7,0.050999999046325684,water,41
60688.1,D8,0.05139999836683273,water,41
60688.1,D9,0.052000001072883606,water,41
60688.1,D10,0.051100000739097595,water,41
60688.1,D11,0.05040000006556511,water,41
60688.1,D12,0.05050000175833702,water,41
60688.1,E1,0.05220000073313713,water,41
60688.1,E2,0.05009999871253967,water,41
60688.1,E3,0.050999999046325684,water,41
60688.1,E4,0.050700001418590546,water,41
60688.1,E5,0.050599999725818634,water,41
60688.1,E6,0.05009999871253967,water,41
60688.1,E7,0.05090000107884407,water,41
60688.1,E8,0.05040000006556511,water,41
60688.1,E9,0.05040000006556511,water,41
60688.1,E10,0.04960000142455101,water,41
60688.1,E11,0.05050000175833702,water,41
60688.1,E12,0.05040000006556511,water,41
60688.1,F1,0.05260000005364418,water,41
60688.1,F2,0.050599999725818634,water,41
60688.1,F3,0.051100000739097595,water,41
60688.1,F4,0.051500000059604645,water,41
60688.1,F5,0.050999999046325684,water,41
60688.1,F6,0.05000000074505806,water,41
60688.1,F7,0.04969999939203262,water,41
60688.1,F8,0.051899999380111694,water,41
60688.1,F9,0.050200000405311584,water,41
60688.1,F10,0.050700001418590546,water,41
60688.1,F11,0.05090000107884407,water,41
60688.1,F12,0.05050000175833702,water,41
60688.1,G1,0.05169999971985817,water,41
60688.1,G2,0.050200000405311584,water,41
60688.1,G3,0.05079999938607216,water,41
60688.1,G4,0.050200000405311584,water,41
60688.1,G5,0.04989999905228615,water,41
60688.1,G6,0.0494999997317791,water,41
