well,block,test_temperature,strain,evolution_history,window_idx,window_size,days_start,days_end,mu,r_squared
d5,2,35,40_E9,40 evolved,25,5,0.25,0.2916666666666667,11.53425444659085,0.9998372842558942
d5,2,38,40_E9,40 evolved,25,5,0.25,0.2916666666666667,12.165769588269889,0.999916052002055
d5,2,41,40_E9,40 evolved,32,5,0.3229166666666667,0.3645833333333333,6.460553608699057,0.9998909834472759
d5,2,42,40_E9,40 evolved,26,5,0.2604166666666667,0.3020833333333333,2.7668819094018624,0.9967140015411464
d5,3,25,35_E7,35 evolved,36,5,0.3645833333333333,0.40625,8.293352105749072,0.9999866848481156
d5,3,35,35_E7,35 evolved,22,5,0.21875,0.2604166666666667,13.265330631825538,0.9999828983872114
d5,3,38,35_E7,35 evolved,23,5,0.22916666666666663,0.2708333333333333,13.692257826186523,0.9999786990494902
d5,3,41,35_E7,35 evolved,24,5,0.23958333333333337,0.28125,5.146345889685929,0.9996852998376192
d5,3,42,35_E7,35 evolved,22,5,0.21875,0.2604166666666667,1.8308083106384487,0.9936340377028215
d6,1,25,WT_FLZ_2,Fluconazole evolved,52,5,0.53125,0.5729166666666666,5.34646523175598,0.999759312575234
d6,1,35,WT_FLZ_2,Fluconazole evolved,30,5,0.3020833333333333,0.34375,9.257128326241054,0.9999453794120877
d6,1,38,WT_FLZ_2,Fluconazole evolved,29,5,0.2916666666666667,0.3333333333333333,9.452429223971183,0.9998604914945505
d6,1,41,WT_FLZ_2,Fluconazole evolved,26,5,0.2604166666666667,0.3020833333333333,2.32412345128018,0.9997948627827529
d6,1,42,WT_FLZ_2,Fluconazole evolved,5,5,0.04166666666666666,0.08333333333333333,1.170929102045036,0.999947930078251
d6,2,25,35_G9,35 evolved,34,5,0.34375,0.3854166666666667,8.248019422432936,0.9998201146672114
d6,2,35,35_G9,35 evolved,23,5,0.22916666666666663,0.2708333333333333,13.040296159476167,0.9999709248358905
d6,2,38,35_G9,35 evolved,21,5,0.20833333333333337,0.25,13.495945736203039,0.9998599956571556
d6,2,41,35_G9,35 evolved,23,5,0.22916666666666663,0.2708333333333333,5.865391360960007,0.9999231922752418
d6,2,42,35_G9,35 evolved,22,5,0.21875,0.2604166666666667,2.1269621496357365,0.9959169513383664
d6,3,25,35_C9,35 evolved,36,5,0.3645833333333333,0.40625,8.453035031221821,0.9996299334068592
d6,3,35,35_C9,35 evolved,23,5,0.22916666666666663,0.2708333333333333,13.440543851286247,0.9998674046381401
d6,3,38,35_C9,35 evolved,22,5,0.21875,0.2604166666666667,13.93338310754789,0.9998598824292053
d6,3,41,35_C9,35 evolved,22,5,0.21875,0.2604166666666667,5.423542079459585,0.9995710105559322
d6,3,42,35_C9,35 evolved,20,6,0.19791666666666663,0.25,1.9169441946652437,0.9891936352255634
d7,1,25,35_B6,35 evolved,35,5,0.3541666666666667,0.3958333333333333,8.341175075402402,0.9999206443249405
d7,1,35,35_B6,35 evolved,22,5,0.21875,0.2604166666666667,13.050051405462098,0.9998858403278968
d7,1,38,35_B6,35 evolved,22,5,0.21875,0.2604166666666667,13.64250467301766,0.9998925696366427
d7,1,41,35_B6,35 evolved,24,5,0.23958333333333337,0.28125,5.270114426097488,0.9995024230210995
d7,1,42,35_B6,35 evolved,21,5,0.20833333333333337,0.25,3.2304294404231433,0.9988686631005397
d7,3,25,40_D8,40 evolved,38,5,0.3854166666666667,0.4270833333333333,8.501895635467077,0.9998590478293454
d7,3,35,40_D8,40 evolved,24,5,0.23958333333333337,0.28125,12.201633475062012,0.9999364628556375
d7,3,38,40_D8,40 evolved,24,5,0.23958333333333337,0.28125,13.006385236427331,0.9999962375301736
d7,3,41,40_D8,40 evolved,31,5,0.3125,0.3541666666666667,7.046058270787847,0.999993500164957
d7,3,42,40_D8,40 evolved,25,5,0.25,0.2916666666666667,2.588739476944218,0.9980647415014925
d8,1,25,WT_CASP_1,Caspofungin evolved,35,5,0.3541666666666667,0.3958333333333333,8.005930425305696,0.9998904182272507
d8,1,35,WT_CASP_1,Caspofungin evolved,21,5,0.20833333333333337,0.25,14.41769181770483,0.9997353063954867
d8,1,38,WT_CASP_1,Caspofungin evolved,20,5,0.19791666666666663,0.23958333333333337,14.475794985739075,0.9997003921933009
d8,1,41,WT_CASP_1,Caspofungin evolved,25,5,0.25,0.2916666666666667,5.38497100774098,0.9996402336945497
d8,1,42,WT_CASP_1,Caspofungin evolved,23,5,0.22916666666666663,0.2708333333333333,3.6545730272021433,0.9972595339767149
d8,2,25,40_C9,40 evolved,36,5,0.3645833333333333,0.40625,8.165342840960664,0.9998510113464885
d8,2,35,40_C9,40 evolved,22,5,0.21875,0.2604166666666667,13.16712248212097,0.9999409354021321
d8,2,38,40_C9,40 evolved,22,10,0.21875,0.3125,13.946816957830467,0.9718564052695181
d8,2,41,40_C9,40 evolved,28,5,0.28125,0.3229166666666667,8.170825505563927,0.9997837569055108
d8,2,42,40_C9,40 evolved,27,5,0.2708333333333333,0.3125,3.1263315003509105,0.9989178192025215
d8,3,25,WT_CASP_3,Caspofungin evolved,35,5,0.3541666666666667,0.3958333333333333,8.18301532876284,0.9998535123843926
d8,3,35,WT_CASP_3,Caspofungin evolved,21,5,0.20833333333333337,0.25,15.549147593723154,0.9999938826231102
d8,3,38,WT_CASP_3,Caspofungin evolved,21,5,0.20833333333333337,0.25,14.859392307063574,0.9999288979232149
d8,3,41,WT_CASP_3,Caspofungin evolved,41,5,0.4166666666666667,0.4583333333333333,14.260045350678649,0.9926833324154172
