well,mu,best_model,se,R2,n_obs,strain,test_temperature,block,evolution_history
e10,4.106668514659063,gr.lagsat,0.045655057537801455,0.9954570236245041,77,fRS585,41,1,fRS585
e2,2.8408052828148227,gr.sat,0.07769390248320363,0.9617199508835995,81,35_B8,41,1,35 evolved
e3,2.7742250715173244,gr.sat,0.07494172528370417,0.9622909890158022,83,35_F4,41,1,35 evolved
e5,5.044418471557594,gr.sat,0.07381956005697239,0.9905972121158232,71,40_D4,41,1,40 evolved
e7,2.9926492231883746,gr.sat,0.06381178024151686,0.9734758701689511,89,35_F4,41,1,35 evolved
e8,3.2107733883263205,gr.sat,0.05631071271873279,0.9824709435606584,87,35_B8,41,1,35 evolved
e9,4.809565549670643,gr.sat,0.06349008447106445,0.992046574440739,72,40_D2,41,1,40 evolved
f10,6.340107261597068,gr.sat,0.12915326674045455,0.9828562232702065,67,40_F2,41,1,40 evolved
f11,4.87621169294651,gr.lagsat,0.048251885393762586,0.9970039793676991,71,fRS585,41,1,fRS585
f2,2.981064103689127,gr.sat,0.09355420098613333,0.958653104904368,68,35_G5,41,1,35 evolved
f3,6.708430156241858,gr.lagsat,0.13069108448857422,0.9926792204942343,59,40_D4,41,1,40 evolved
f4,3.048077043541189,gr.sat,0.09199281006634154,0.9622963370820903,67,35_D4,41,1,35 evolved
f5,3.168818199452628,gr.sat,0.09615025553100824,0.9659838348782748,57,35_B6,41,1,35 evolved
f6,5.977435003781467,gr.lagsat,0.046252159976491854,0.9985429280680935,63,40_B8,41,1,40 evolved
f7,5.69357367001114,gr.lagsat,0.11317142093371034,0.9904766443067474,67,40_C7,41,1,40 evolved
f8,3.9035302640522085,gr.sat,0.0442613367743906,0.9935228909813939,78,WT_CASP_1,41,1,Caspofungin evolved
g10,7.314204959897982,gr.lagsat,0.06945722227521763,0.9980357508791412,55,40_G9,41,1,40 evolved
g2,3.196029079478173,gr.lagsat,0.10743210821533232,0.9666831952633451,62,35_G11,41,1,35 evolved
g3,1.479301718231368,gr,0.007166587979026871,0.9977753191700501,97,WT_FLZ_2,41,1,Fluconazole evolved
g4,3.2559765743939098,gr.lagsat,0.08513011134499934,0.9846810578968016,55,35_B6,41,1,35 evolved
g6,4.569039900503655,gr.lagsat,0.019781754370964657,0.9994050233621012,76,40_D2,41,1,40 evolved
g7,6.914225399886379,gr.lagsat,0.06528129016097774,0.9981354964920421,58,40_G9,41,1,40 evolved
g8,2.778957268370447,gr.sat,0.06032113572079821,0.9713973693577246,91,35_G11,41,1,35 evolved
g9,3.4354422954960793,gr.lagsat,0.057077168269167894,0.9866433044928138,85,35_D4,41,1,35 evolved
b11,10.340426373946672,gr.lagsat,0.16313981277711287,0.9962958781010226,44,35_D8,35,2,35 evolved
b2,8.344002356815606,gr.sat,0.20672809805587858,0.9795599092724115,48,35_E9,35,2,35 evolved
b3,9.120515532244847,gr.lagsat,0.1286514269410804,0.9966129586482445,48,40_E9,35,2,40 evolved
b4,8.355873781318587,gr.sat,0.18226205232048073,0.9839881186759128,48,40_G11,35,2,40 evolved
b5,8.026580003370016,gr.sat,0.1818184170402497,0.9831839630150663,50,40_E11,35,2,40 evolved
b8,8.008157042859876,gr.sat,0.18228034116950534,0.9830187002663882,50,35_B2,35,2,35 evolved
b9,10.386406001009279,gr.lagsat,0.16688885450909569,0.9961217360211478,44,fRS585,35,2,fRS585
c11,7.889108111357988,gr.sat,0.1834432914212776,0.9816848806869228,51,35_C7,35,2,35 evolved
c2,8.002146605731422,gr.sat,0.16325892984605547,0.9860817562513804,50,40_B2,35,2,40 evolved
c3,11.734793956852648,gr.lagsat,0.1707257638427119,0.9970561825136844,42,40_G11,35,2,40 evolved
c4,7.991804677840917,gr.sat,0.19911971481449742,0.9787061422509307,50,40_E11,35,2,40 evolved
c5,9.083460641490836,gr.lagsat,0.12767444523313465,0.9967170501471418,48,40_E9,35,2,40 evolved
c9,10.368113145434615,gr.lagsat,0.16792995598964852,0.9960793701143259,45,fRS585,35,2,fRS585
d10,10.287124108321734,gr.lagsat,0.15939100875126344,0.9964260894967286,45,35_E9,35,2,35 evolved
d11,8.145466470088833,gr.sat,0.16216338566125946,0.9863407024846168,49,40_B2,35,2,40 evolved
d2,8.080055256913328,gr.sat,0.17766809023259394,0.9837170201326749,49,40_C9,35,2,40 evolved
d3,7.9530299376444145,gr.sat,0.17749353160175738,0.9827367246580585,50,35_D8,35,2,35 evolved
d4,10.090905440464667,gr.lagsat,0.16026855293330516,0.9963902234476639,44,35_D8,35,2,35 evolved
d5,9.203374223233748,gr.lagsat,0.13423552126031613,0.9966761651977101,48,40_E9,35,2,40 evolved
d6,8.035020939397029,gr.sat,0.17952692528231498,0.9835377419059764,50,35_G9,35,2,35 evolved
d8,8.227181120571716,gr.sat,0.17959762969565254,0.9842656265275188,49,40_C9,35,2,40 evolved
d9,8.186005853897608,gr.sat,0.1829091776865298,0.98376936787679,49,40_C9,35,2,40 evolved
e10,8.076361872064295,gr.sat,0.1824194788270826,0.9831315463722997,50,fRS585,35,2,fRS585
e11,8.284729066182743,gr.sat,0.20406857598314063,0.980632289421793,49,40_E11,35,2,40 evolved
e3,7.917164331052212,gr.sat,0.18118174521601454,0.9822344840289736,51,35_C7,35,2,35 evolved
e8,7.885799337895681,gr.sat,0.17794068565702423,0.9825620731227122,50,35_C7,35,2,35 evolved
e9,8.023202245729063,gr.sat,0.1834730542924951,0.9827443433627407,50,35_B2,35,2,35 evolved
f11,7.925998215158012,gr.sat,0.18782579409689185,0.9805978277388349,50,35_B2,35,2,35 evolved
f2,7.808265271274446,gr.sat,0.19299961695560708,0.979552473023574,51,35_F6,35,2,35 evolved
f3,9.280393153918643,gr.lagsat,0.13348735872840084,0.9966133407540702,48,40_F4,35,2,40 evolved
f4,8.602082064482966,gr.sat,0.18424461220579907,0.9849359178605702,48,40_G11,35,2,40 evolved
f5,7.988649051398841,gr.sat,0.17207580982827658,0.9846980661507352,50,40_B2,35,2,40 evolved
f7,9.224629335856756,gr.lagsat,0.12903249340164613,0.9965075882164101,48,40_F4,35,2,40 evolved
f8,8.278674551861272,gr.sat,0.2128177921369678,0.9789365499233946,49,35_G9,35,2,35 evolved
f9,7.894412402327046,gr.sat,0.17927092975431563,0.9821554019247345,50,35_F6,35,2,35 evolved
g3,7.924958684039628,gr.sat,0.17897232279404265,0.9825012419521005,50,35_G9,35,2,35 evolved
g5,9.672216766204588,gr.lagsat,0.13344298916115485,0.9969418501868748,46,40_F4,35,2,40 evolved
g6,7.99374069493086,gr.sat,0.18645021152972413,0.9821250861619077,50,35_F6,35,2,35 evolved
