population,evolution_history,drug,mean_log_ratio,se_log_ratio,n_plates
40_C7,40 evolved,fluconazole,-0.05460775655878673,0.05848689229581856,3
40_C9,40 evolved,amphotericin,0.1470501015380405,0.07627539442225216,6
40_C9,40 evolved,caspofungin,0.05060225704906851,0.24375027613041708,6
40_C9,40 evolved,fluconazole,0.45494204619635903,0.18716979959749697,6
40_D2,40 evolved,amphotericin,-0.3842979228217372,0.13756995464382657,3
40_D2,40 evolved,caspofungin,-0.08867985859805896,0.10932186125289395,3
40_D2,40 evolved,fluconazole,0.16425907353188096,0.13211322631978772,3
40_D4,40 evolved,amphotericin,-0.13246433143872932,0.05047373818423139,3
40_D4,40 evolved,caspofungin,-0.2622678644080166,0.07747314337212728,3
40_D4,40 evolved,fluconazole,0.008907154501368511,0.2573188864948171,3
40_D8,40 evolved,amphotericin,-1.2717085767880765,0.715498730708502,3
40_D8,40 evolved,caspofungin,-0.29091130966386586,0.13369475147466234,3
40_D8,40 evolved,fluconazole,0.003652769307873875,0.29939835838810236,3
40_E11,40 evolved,amphotericin,-0.18441565847670005,0.40411866841952315,6
40_E11,40 evolved,caspofungin,0.11655635328198236,0.11814079231609363,6
40_E11,40 evolved,fluconazole,0.39870745689775267,0.13706249829667888,6
40_E7,40 evolved,amphotericin,0.22610735224454537,0.04217759599596966,5
40_E7,40 evolved,caspofungin,0.32272080377095785,0.2242940407413812,5
40_E7,40 evolved,fluconazole,0.2764077338238779,0.12214291355928115,6
40_E9,40 evolved,amphotericin,0.06299996875097558,0.03339672766225761,3
40_E9,40 evolved,caspofungin,-0.35144503247919195,0.158321179502697,3
40_E9,40 evolved,fluconazole,-0.6797236752202056,0.7564456007093155,3
40_F2,40 evolved,amphotericin,-0.21317649585566867,0.03247246974871218,3
40_F2,40 evolved,caspofungin,0.055074116971941756,0.22508785070493728,3
40_F2,40 evolved,fluconazole,0.8090244557681892,0.33904391263295197,3
40_F4,40 evolved,amphotericin,0.3510991278338869,0.03918500936547854,3
40_F4,40 evolved,caspofungin,-0.2638911410059441,0.18059493201524934,3
40_F4,40 evolved,fluconazole,0.3359520015432389,0.2799781221561968,3
40_F6,40 evolved,amphotericin,-0.04421251650298908,0.04600773748255094,6
40_F6,40 evolved,caspofungin,0.23373725669167572,0.11351877260918702,6
40_F6,40 evolved,fluconazole,0.31648954427599707,0.21690560233186956,6
40_G11,40 evolved,amphotericin,0.2946348837560193,0.0473038715069098,6
40_G11,40 evolved,caspofungin,0.37514194569586823,0.126794543548351,6
40_G11,40 evolved,fluconazole,1.244505527782314,0.19213476444116195,6
40_G5,40 evolved,amphotericin,-0.01401457156386364,0.12905198404348917,3
40_G5,40 evolved,caspofungin,-0.01738956690196784,0.2359906903214384,3
40_G5,40 evolved,fluconazole,0.842656608279457,0.4027120187901919,3
40_G9,40 evolved,amphotericin,0.397216585453965,0.04120938946885538,6
40_G9,40 evolved,caspofungin,0.4688214370246584,0.1217395319953673,6
40_G9,40 evolved,fluconazole,1.4484865579697088,0.2917735719379832,6
