well,strain,r,K,t_mid,R2,n_obs,strain.y,test_temperature,block,evolution_history
d7,40_D8,9.886155273646082,1.4686487806264796,0.5238128818637253,0.9968103174971491,97,40_D8,25,3,40 evolved
d8,WT_CASP_3,10.166894215154658,1.4083183960197754,0.49354969053224707,0.9971229331611847,97,WT_CASP_3,25,3,Caspofungin evolved
d10,35_C5,9.464632335706295,1.460341917134224,0.5137997355319216,0.9962608438629607,97,35_C5,25,3,35 evolved
e2,40_B6,9.62548454483572,1.4884527959871325,0.5342689006705872,0.9968457290345135,97,40_B6,25,3,40 evolved
e4,35_C5,9.61607885037354,1.5113782723088356,0.503705103022105,0.996472423097329,97,35_C5,25,3,35 evolved
e5,40_G5,9.409788494046467,1.526,0.5400663702677809,0.9961607699656874,97,40_G5,25,3,40 evolved
e10,WT_FLZ_1,9.324916356690048,1.480023212670807,0.4733899154931611,0.9964007925239188,97,WT_FLZ_1,25,3,Fluconazole evolved
e11,40_E7,9.781841783806371,1.463104755484823,0.4999656035928181,0.9966644992657698,97,40_E7,25,3,40 evolved
f2,40_F6,9.663746634933107,1.4855039995354211,0.4889218122083713,0.996499653010384,97,40_F6,25,3,40 evolved
f3,35_E7,9.307835703407775,1.462135168717668,0.5046185910278594,0.9963185510006877,97,35_E7,25,3,35 evolved
f4,40_C5,9.526710201840428,1.5188133087777502,0.5225191173833319,0.9969750953939305,97,40_C5,25,3,40 evolved
f5,40_D8,9.752546801359,1.4864268996815486,0.5221291993463445,0.9968570128858659,97,40_D8,25,3,40 evolved
f7,35_D2,9.769061929521497,1.4959256042954967,0.48987284290039385,0.9967727525403007,97,35_D2,25,3,35 evolved
f8,40_G5,9.713258346351868,1.4878963485400392,0.5303971818785816,0.996885166818013,97,40_G5,25,3,40 evolved
f11,35_F2,9.559673158513895,1.4513079632190224,0.5033985672381515,0.9962972462733118,97,35_F2,25,3,35 evolved
g2,40_E7,9.71787394091101,1.4725202530341486,0.4992787781555272,0.9966909024478244,97,40_E7,25,3,40 evolved
g3,35_E7,9.516379494112153,1.4664367467103965,0.5032450934533673,0.9963770770546234,97,35_E7,25,3,35 evolved
g4,40_C5,9.592175123760853,1.5246466166491612,0.5224828975114897,0.9970532011124246,97,40_C5,25,3,40 evolved
g5,40_F6,9.731772993204302,1.511,0.48517674194175464,0.9964619074773274,97,40_F6,25,3,40 evolved
g6,WT_CASP_3,10.08458888666132,1.4772567631604294,0.4892950860242697,0.9974893801812732,97,WT_CASP_3,25,3,Caspofungin evolved
g7,35_C5,9.669743107195288,1.5020107593171088,0.4976284757263816,0.9965651990508353,97,35_C5,25,3,35 evolved
g8,40_B6,9.88559846607996,1.5172487719903087,0.5204412645905422,0.9970150389458727,97,40_B6,25,3,40 evolved
g10,35_F2,9.786616624018487,1.5000237015011153,0.4899970625184617,0.9966216086951373,97,35_F2,25,3,35 evolved
b2,40_B6,17.733851175649054,1.382,0.30531437958068863,0.9971576691591224,97,40_B6,38,3,40 evolved
b3,fRS585,18.747499767827545,1.385,0.29600779334732846,0.9972262389817205,97,fRS585,38,3,fRS585
b4,35_E11,18.862669436753414,1.375,0.29442000676431,0.9970819689132686,97,35_E11,38,3,35 evolved
b5,35_D2,18.955470614229178,1.401,0.2914748695482287,0.9973385217508087,97,35_D2,38,3,35 evolved
b6,WT_FLZ_1,19.17565009588576,1.456,0.28319095609913636,0.9937999990446073,97,WT_FLZ_1,38,3,Fluconazole evolved
b7,fRS585,18.959068352704318,1.411,0.2928291372258642,0.9972478176875873,97,fRS585,38,3,fRS585
b8,35_E11,19.133894424883344,1.384,0.294183154422654,0.9972974290293121,97,35_E11,38,3,35 evolved
b9,40_C5,17.011023270909508,1.436,0.3079828341676332,0.997681192484495,97,40_C5,38,3,40 evolved
b10,40_F6,8.569808096847355,1.613,0.32996565848594617,0.8302713507033466,97,40_F6,38,3,40 evolved
b11,40_G5,17.782362384930696,1.4119160550716636,0.3083025061771149,0.9973074293514054,97,40_G5,38,3,40 evolved
c2,35_E11,18.734072241986922,1.418,0.29061092246120923,0.997161211681521,97,35_E11,38,3,35 evolved
c3,40_E7,18.13838483314402,1.448,0.30219049645758017,0.9778990273142305,97,40_E7,38,3,40 evolved
c4,35_C9,19.117951340563202,1.404,0.28805797336264977,0.9963633360678296,97,35_C9,38,3,35 evolved
c5,35_D2,19.287916720849278,1.389,0.2898849976778184,0.9972078769115217,97,35_D2,38,3,35 evolved
c7,40_D8,18.441529406779907,1.391,0.3033143201851871,0.9971630903078786,97,40_D8,38,3,40 evolved
c8,35_F2,19.026323540702432,1.363,0.2964921481500106,0.9972315410593571,97,35_F2,38,3,35 evolved
c9,fRS585,19.27913027034755,1.3855869797253326,0.2950052367951484,0.9976079553918964,97,fRS585,38,3,fRS585
d2,35_C9,19.283867761451074,1.376,0.28821260696531803,0.996856137639837,97,35_C9,38,3,35 evolved
d3,WT_CASP_3,21.13211906664749,1.375,0.2680277576349954,0.9971815279543204,97,WT_CASP_3,38,3,Caspofungin evolved
d4,WT_FLZ_1,21.298468923233603,1.883,0.29628789971323033,0.8037248663568308,97,WT_FLZ_1,38,3,Fluconazole evolved
d5,35_E7,19.11172850647241,1.377,0.296682865169661,0.9970497576378787,97,35_E7,38,3,35 evolved
d6,35_C9,19.250225480233066,1.3491781973393717,0.29277702052753934,0.9972788008231149,97,35_C9,38,3,35 evolved
d7,40_D8,18.35156942767064,1.3356137646523047,0.3127352785782475,0.997097882517809,97,40_D8,38,3,40 evolved
d8,WT_CASP_3,21.279529012123874,1.341,0.2700068073687994,0.997071156944039,97,WT_CASP_3,38,3,Caspofungin evolved
d10,35_C5,19.015019689880866,1.406,0.2945389831278,0.9974723195103266,97,35_C5,38,3,35 evolved
e2,40_B6,17.76079523668511,1.351,0.31035194483922574,0.9970218307691835,97,40_B6,38,3,40 evolved
e4,35_C5,19.630832117433734,1.398,0.29445163110654426,0.9963564243464477,97,35_C5,38,3,35 evolved
e5,40_G5,18.045549259918797,1.424,0.31136078067144335,0.9970069108207107,97,40_G5,38,3,40 evolved
e10,WT_FLZ_1,19.51856913246152,1.393,0.28341336640561765,0.9971728000943936,97,WT_FLZ_1,38,3,Fluconazole evolved
e11,40_E7,19.080713850935496,1.413,0.29689187729350147,0.9974090642490592,97,40_E7,38,3,40 evolved
f2,40_F6,19.113234451412502,1.421,0.2858871344358284,0.9971628249125171,97,40_F6,38,3,40 evolved
f3,35_E7,22.624906409465005,1.3,0.2855522947054881,0.9949866929207112,97,35_E7,38,3,35 evolved
f4,40_C5,16.776373089524014,1.445,0.3084890881512789,0.9973878917669736,97,40_C5,38,3,40 evolved
f5,40_D8,12.066804829757933,1.57,0.32147764397532375,0.9224638167068165,97,40_D8,38,3,40 evolved
f7,35_D2,18.948611133908226,1.41,0.2927410702747739,0.9973089498673334,97,35_D2,38,3,35 evolved
f8,40_G5,17.950525988749607,1.402,0.310442107660822,0.9971554504387495,97,40_G5,38,3,40 evolved
f11,35_F2,19.099345310670532,1.43,0.29178886010015087,0.9976442793015491,97,35_F2,38,3,35 evolved
g2,40_E7,19.058770096325713,1.397,0.30024258900825834,0.9967040893652204,97,40_E7,38,3,40 evolved
g3,35_E7,20.011993353710448,1.384,0.29281691214690786,0.9963208555385089,97,35_E7,38,3,35 evolved
g4,40_C5,16.503051728723786,1.465,0.30627499854912466,0.9975261419808339,97,40_C5,38,3,40 evolved
g5,40_F6,19.30117257326669,1.407,0.2889367561906161,0.9970530204210153,97,40_F6,38,3,40 evolved
g6,WT_CASP_3,20.904212047743385,1.388,0.2670088458498634,0.9973547707912624,97,WT_CASP_3,38,3,Caspofungin evolved
g7,35_C5,18.992275251097997,1.383,0.2995336204302838,0.9972991166909703,97,35_C5,38,3,35 evolved
g8,40_B6,17.934191157280864,1.326943113512528,0.31385721965761165,0.9968615133423797,97,40_B6,38,3,40 evolved
g10,35_F2,4.62837056788216,1.878,0.3922879959436673,0.7033637405545594,97,35_F2,38,3,35 evolved
