strain,evolution_history,th_c,se_th,drug,ic50,se_log_ic50,log_ic50
40_G11,40 evolved,41.61807669131247,0.17165904676532967,amphotericin,0.9885665195654683,0.13331554306869534,-0.011499345195538826
40_G11,40 evolved,41.61807669131247,0.17165904676532967,caspofungin,0.02309362485016998,0.0887672492243847,-3.768198680056141
35_E11,35 evolved,41.03562610405646,0.03247105264886213,amphotericin,0.29114138505951404,0.06922727092129902,-1.2339462704910182
35_E11,35 evolved,41.03562610405646,0.03247105264886213,caspofungin,0.014597325626337228,0.12505295941512334,-4.226916943324942
35_E11,35 evolved,41.03562610405646,0.03247105264886213,fluconazole,15.75542859898965,0.08722547425509349,2.7571849788372895
40_D2,40 evolved,41.24018552588649,0.09623870896732356,fluconazole,26.81564956602233,0.0709131573289092,3.2889856561214414
40_D2,40 evolved,41.24018552588649,0.09623870896732356,caspofungin,0.02384816357864363,0.05892472344547239,-3.7360480634113555
40_D2,40 evolved,41.24018552588649,0.09623870896732356,amphotericin,0.9191505959765579,0.09859880255290833,-0.08430530065379523
40_E11,40 evolved,41.384040596683064,0.026052019633106323,fluconazole,32.97328772083499,0.10186464604249262,3.4956977706693992
40_E11,40 evolved,41.384040596683064,0.026052019633106323,amphotericin,0.8099258795949106,0.1591294573624223,-0.21081254217559353
40_E11,40 evolved,41.384040596683064,0.026052019633106323,caspofungin,0.01764774758267307,0.06821937097322496,-4.037147119458983
35_D2,35 evolved,40.937051640433424,0.029519461608754634,amphotericin,0.3134421348838975,0.07792314624664756,-1.160140513668541
35_D2,35 evolved,40.937051640433424,0.029519461608754634,caspofungin,0.012736352279975634,0.072120652048915,-4.363294990088679
35_D2,35 evolved,40.937051640433424,0.029519461608754634,fluconazole,17.71027774717808,0.10119644976356201,2.8741451347422373
40_G9,40 evolved,41.702515845948824,0.10742022872988702,fluconazole,69.349933556873,0.12700043518933804,4.239165188676359
40_G9,40 evolved,41.702515845948824,0.10742022872988702,amphotericin,0.985097766257272,0.13566760826468305,-0.015014387651983218
35_B2,35 evolved,41.08888073570148,0.03273261162255481,amphotericin,0.3001494002576654,0.07257334972401552,-1.2034749274283256
35_B2,35 evolved,41.08888073570148,0.03273261162255481,caspofungin,0.016763258437363975,0.058116944976807965,-4.088565785321017
35_B2,35 evolved,41.08888073570148,0.03273261162255481,fluconazole,18.01991491431173,0.08233653048072448,2.8914775304327365
40_C5,40 evolved,41.3402418658668,0.036956622499273124,fluconazole,25.158254988208306,0.07494448461004688,3.2251860728374653
40_C5,40 evolved,41.3402418658668,0.036956622499273124,caspofungin,0.019635703759124806,0.09557634058271829,-3.9304057495203835
40_C5,40 evolved,41.3402418658668,0.036956622499273124,amphotericin,1.7530251963003252,0.043778092279774874,0.561342979081853
35_B8,35 evolved,40.85133489141617,0.11527355958172819,amphotericin,0.3204904035894782,0.10899248001704268,-1.1379029450681908
35_B8,35 evolved,40.85133489141617,0.11527355958172819,caspofungin,0.013593851425174719,0.07910907206962228,-4.298137689558736
35_B8,35 evolved,40.85133489141617,0.11527355958172819,fluconazole,14.805829987058559,0.08994717188538544,2.6950210212492225
35_C7,35 evolved,40.997684130527944,0.12737124979040187,amphotericin,0.3396808525607339,0.1161440837391706,-1.0797487711365177
35_C7,35 evolved,40.997684130527944,0.12737124979040187,caspofungin,0.015508101257635675,0.02325775897416762,-4.166392729814085
35_C7,35 evolved,40.997684130527944,0.12737124979040187,fluconazole,16.871650951258264,0.08171356971111551,2.825634754914717
35_G5,35 evolved,40.653200985927015,0.1467201023295803,amphotericin,0.1512640376951938,0.05423416819079229,-1.888728375169987
35_G5,35 evolved,40.653200985927015,0.1467201023295803,caspofungin,0.015278070187622495,0.04937100855821943,-4.181336799841417
35_G5,35 evolved,40.653200985927015,0.1467201023295803,fluconazole,23.19063103881984,0.07205411455787579,3.1437483625755123
40_B2,40 evolved,41.61092641769295,0.1147220414186244,fluconazole,19.598866155546194,0.055246196189312126,2.975471715356315
40_B2,40 evolved,41.61092641769295,0.1147220414186244,caspofungin,0.028995456350324616,0.06403751509855167,-3.54061613884589
40_B2,40 evolved,41.61092641769295,0.1147220414186244,amphotericin,1.9221751561678921,0.05820794456711205,0.6534574386371694
40_E7,40 evolved,41.31471501407674,0.024514215862810367,fluconazole,30.225323039332576,0.11713096067256297,3.4086800842628513
40_E7,40 evolved,41.31471501407674,0.024514215862810367,amphotericin,0.8708082117276781,0.15044333149849046,-0.13833351957011442
40_E7,40 evolved,41.31471501407674,0.024514215862810367,caspofungin,0.025400664558416913,0.09350152112762146,-3.672979941582709
40_C7,40 evolved,41.30312543943171,0.04156067407293137,fluconazole,24.76794669726185,0.04899556701096167,3.2095503453241645
40_C7,40 evolved,41.30312543943171,0.04156067407293137,caspofungin,0.01647561836299869,0.11201616960535836,-4.105873665883743
40_C7,40 evolved,41.30312543943171,0.04156067407293137,amphotericin,0.8095307383238656,0.09453773695585674,-0.21130053459788425
35_C9,35 evolved,41.039449478777044,0.06577425315917969,amphotericin,0.32871320214236605,0.1144980975246701,-1.1125696344018843
35_C9,35 evolved,41.039449478777044,0.06577425315917969,caspofungin,0.014744293391178756,0.0644431999891129,-4.2168991597907075
