rep.id,well,block,test_temperature,strain,evolution_history,mu,best_model,se,R2,n_obs
f4_2_38_40_G11_40 evolved,f4,2,38,40,G11,8.960076826259238,gr.sat,0.17648318684255423,0.9874948195822002,47
f5_2_38_40_B2_40 evolved,f5,2,38,40,B2,9.85055767659633,gr.lagsat,0.11775681037859453,0.9976484997545371,47
f7_2_38_40_F4_40 evolved,f7,2,38,40,F4,9.93863929133122,gr.lagsat,0.12399935229359763,0.9973735214156652,47
f8_2_38_35_G9_35 evolved,f8,2,38,35,G9,8.690605839201035,gr.sat,0.18782512674057672,0.9850406838501833,48
f9_2_38_35_F6_35 evolved,f9,2,38,35,F6,8.888900279998731,gr.sat,0.21751327742239432,0.9805753304233327,48
g3_2_38_35_G9_35 evolved,g3,2,38,35,G9,8.745808043540311,gr.sat,0.1800853520108587,0.9862751678607403,48
g5_2_38_40_F4_40 evolved,g5,2,38,40,F4,9.737648030781735,gr.lagsat,0.11889750490418911,0.9973157440973128,47
g6_2_38_35_F6_35 evolved,g6,2,38,35,F6,8.61538380226238,gr.sat,0.18080082934160616,0.9851245527087532,48
g8_2_38_35_E9_35 evolved,g8,2,38,35,E9,8.698381290774591,gr.sat,0.1899996974880767,0.9846740837872411,48
b11_2_41_35_D8_35 evolved,b11,2,41,35,D8,6.903266089433474,gr.lagsat,0.05899020567959192,0.9985267258781348,57
b2_2_41_35_E9_35 evolved,b2,2,41,35,E9,4.194238172898672,gr.lagsat,0.05301213393018939,0.994209068229146,76
b3_2_41_40_E9_40 evolved,b3,2,41,40,E9,5.870276429238521,gr.sat,0.08626668117124171,0.991508603556982,63
b4_2_41_40_G11_40 evolved,b4,2,41,40,G11,7.260915979786271,gr.lagsat,0.06749435860745738,0.998281503936741,56
b5_2_41_40_E11_40 evolved,b5,2,41,40,E11,6.528030206677207,gr.lagsat,0.05410278538182784,0.998490192899693,59
b8_2_41_35_B2_35 evolved,b8,2,41,35,B2,5.717702879917897,gr.lagsat,0.04806643221230003,0.9982686341194746,65
b9_2_41_fRS585_fRS585,b9,2,41,fRS585,fRS585,6.275145411202791,gr.lagsat,0.05564663655260538,0.9980899087309774,60
c11_2_41_35_C7_35 evolved,c11,2,41,35,C7,6.376030373872774,gr.lagsat,0.05497518066434242,0.9983026493877903,60
c2_2_41_40_B2_40 evolved,c2,2,41,40,B2,6.546752154876815,gr.lagsat,0.06126088227910695,0.9981229039869204,59
c3_2_41_40_G11_40 evolved,c3,2,41,40,G11,8.035739582802963,gr.lagsat,0.08672771857553513,0.9980662350493545,51
c4_2_41_40_E11_40 evolved,c4,2,41,40,E11,6.553142507243445,gr.lagsat,0.05830902074548436,0.9982399796989049,59
c5_2_41_40_E9_40 evolved,c5,2,41,40,E9,5.95793073167625,gr.lagsat,0.048452923591478736,0.9983604028051142,63
c9_2_41_fRS585_fRS585,c9,2,41,fRS585,fRS585,5.087533959390045,gr.sat,0.06143809966609501,0.9938415990273197,66
d10_2_41_35_E9_35 evolved,d10,2,41,35,E9,4.479319831290354,gr.lagsat,0.051120437909949024,0.9957902352260483,74
d11_2_41_40_B2_40 evolved,d11,2,41,40,B2,7.05342391327631,gr.lagsat,0.06626307666609828,0.9982962185822614,57
d2_2_41_40_C9_40 evolved,d2,2,41,40,C9,6.481385535252537,gr.lagsat,0.0652669915067083,0.9976595854636701,59
d3_2_41_35_D8_35 evolved,d3,2,41,35,D8,4.089687410387843,gr.lagsat,0.07837359453570014,0.9875815623950762,72
d4_2_41_35_D8_35 evolved,d4,2,41,35,D8,3.534150023846873,gr.sat,0.0724732651075024,0.9806424458769076,73
d5_2_41_40_E9_40 evolved,d5,2,41,40,E9,5.748799687207924,gr.lagsat,0.04451851736856018,0.9985113809691736,65
d6_2_41_35_G9_35 evolved,d6,2,41,35,G9,3.5588630282608125,gr.sat,0.0713617597266917,0.9795919247460215,79
d8_2_41_40_C9_40 evolved,d8,2,41,40,C9,6.8549260271223105,gr.lagsat,0.06448183180512922,0.9982040550139961,57
d9_2_41_40_C9_40 evolved,d9,2,41,40,C9,6.966134158206665,gr.lagsat,0.06372599670394526,0.9982504939421377,56
e10_2_41_fRS585_fRS585,e10,2,41,fRS585,fRS585,4.9007648037250835,gr.lagsat,0.06221130282277883,0.9947677842518275,68
e11_2_41_40_E11_40 evolved,e11,2,41,40,E11,7.400077630317644,gr.lagsat,0.09017935062148007,0.9970885025907072,54
e3_2_41_35_C7_35 evolved,e3,2,41,35,C7,3.5259633825682206,gr.sat,0.09286622613623685,0.9706874889265513,68
e8_2_41_35_C7_35 evolved,e8,2,41,35,C7,3.857128152981619,gr.lagsat,0.06903457866287922,0.9867690939417457,77
e9_2_41_35_B2_35 evolved,e9,2,41,35,B2,3.760599949581554,gr.lagsat,0.061068495658926476,0.9887402527727959,80
f11_2_41_35_B2_35 evolved,f11,2,41,35,B2,4.625540829175764,gr.sat,0.050776912388496354,0.9945677966783908,71
f2_2_41_35_F6_35 evolved,f2,2,41,35,F6,3.719818716786843,gr.lagsat,0.11169512581456105,0.9756934826270414,59
f3_2_41_40_F4_40 evolved,f3,2,41,40,F4,5.834611967257445,gr.sat,0.09060402137880962,0.9903337906651188,62
f4_2_41_40_G11_40 evolved,f4,2,41,40,G11,6.481877586942025,gr.lagsat,0.059457528499320685,0.9980441781639686,60
f5_2_41_40_B2_40 evolved,f5,2,41,40,B2,5.994412451605413,gr.lagsat,0.052835514091186815,0.9981308387651268,62
f7_2_41_40_F4_40 evolved,f7,2,41,40,F4,6.109269200404927,gr.sat,0.09728485174547917,0.9902407388417045,61
f8_2_41_35_G9_35 evolved,f8,2,41,35,G9,3.4000700304148666,gr.sat,0.06762381905984766,0.9792527599671931,81
f9_2_41_35_F6_35 evolved,f9,2,41,35,F6,3.909700042524994,gr.sat,0.05928790219943949,0.988725248802912,78
g3_2_41_35_G9_35 evolved,g3,2,41,35,G9,3.3952708076972242,gr.sat,0.10278829383936573,0.9641207404353925,63
g5_2_41_40_F4_40 evolved,g5,2,41,40,F4,6.719657304074171,gr.lagsat,0.06415670563051874,0.9981091012106773,58
g6_2_41_35_F6_35 evolved,g6,2,41,35,F6,3.170935182784177,gr.sat,0.08827986937614053,0.9649013374376608,73
g8_2_41_35_E9_35 evolved,g8,2,41,35,E9,2.9767757124008876,gr.sat,0.0704391352502699,0.9703529098887688,84
b11_2_42_35_D8_35 evolved,b11,2,42,35,D8,2.8577593333525284,gr.lagsat,0.09087729046641253,0.9810386157065625,44
b2_2_42_35_E9_35 evolved,b2,2,42,35,E9,2.2893264623716307,gr.lagsat,0.10812077981268414,0.9599648746005346,43
b3_2_42_40_E9_40 evolved,b3,2,42,40,E9,2.4455224890935914,gr.sat,0.03814609104676982,0.9901613033979767,63
b4_2_42_40_G11_40 evolved,b4,2,42,40,G11,3.1927215771875375,gr.lagsat,0.04586080353240485,0.9908695196021415,84
b5_2_42_40_E11_40 evolved,b5,2,42,40,E11,2.789294583382972,gr.lagsat,0.037587480307113466,0.9963426929657266,50
b8_2_42_35_B2_35 evolved,b8,2,42,35,B2,2.238183568007249,gr.lagsat,0.09072075520621843,0.9722978722157858,44
b9_2_42_fRS585_fRS585,b9,2,42,fRS585,fRS585,2.6552685859780385,gr.lagsat,0.10427635235755624,0.9717623761626347,43
c11_2_42_35_C7_35 evolved,c11,2,42,35,C7,3.747174835709482,gr.sat,0.09154018139604825,0.9811813525034467,45
c2_2_42_40_B2_40 evolved,c2,2,42,40,B2,4.533599145971226,gr.lagsat,0.03381980639166506,0.9983807650188751,74
c3_2_42_40_G11_40 evolved,c3,2,42,40,G11,6.499972015055109,gr.lagsat,0.06734071626777137,0.9978908954768032,59
c4_2_42_40_E11_40 evolved,c4,2,42,40,E11,2.9522137773007184,gr.sat,0.06052013500609728,0.9826112084558513,65
c5_2_42_40_E9_40 evolved,c5,2,42,40,E9,2.391578372333301,gr.lagsat,0.0298676106516617,0.9965853882326187,55
c9_2_42_fRS585_fRS585,c9,2,42,fRS585,fRS585,2.2505296205073817,gr.lagsat,0.09643873713191911,0.9673181734965327,43
d10_2_42_35_E9_35 evolved,d10,2,42,35,E9,1.7995466319828142,gr.sat,0.06464770015447309,0.9593645167204173,44
d11_2_42_40_B2_40 evolved,d11,2,42,40,B2,3.736158199094465,gr.lagsat,0.027048653261470254,0.9979258839152723,85
d2_2_42_40_C9_40 evolved,d2,2,42,40,C9,2.918793014584675,gr.sat,0.050041598393346744,0.9887007877734871,59
d3_2_42_35_D8_35 evolved,d3,2,42,35,D8,2.6296052547533764,gr.lagsat,0.10798843560207595,0.9728920259831989,44
d4_2_42_35_D8_35 evolved,d4,2,42,35,D8,2.4641017075295064,gr.lagsat,0.1017882894591287,0.9716800886542826,43
d5_2_42_40_E9_40 evolved,d5,2,42,40,E9,2.2228146388032983,gr.lagsat,0.0329579952567598,0.9953564957673116,54
d6_2_42_35_G9_35 evolved,d6,2,42,35,G9,1.673824073074006,gr.sat,0.05954801096150495,0.9616016538591488,44
d8_2_42_40_C9_40 evolved,d8,2,42,40,C9,2.475652035131906,gr.lagsat,0.025872457963005115,0.9974493721345138,53
d9_2_42_40_C9_40 evolved,d9,2,42,40,C9,2.6555869502460885,gr.lagsat,0.0332445346449849,0.9962633444791436,54
e10_2_42_fRS585_fRS585,e10,2,42,fRS585,fRS585,1.9953429607460516,gr.lagsat,0.08446239073422904,0.9682322256817009,43
e11_2_42_40_E11_40 evolved,e11,2,42,40,E11,2.871241781640766,gr.lagsat,0.03467152552936851,0.9971112203010268,51
e3_2_42_35_C7_35 evolved,e3,2,42,35,C7,2.915682616389863,gr.sat,0.09200440552992423,0.970258461525619,44
e8_2_42_35_C7_35 evolved,e8,2,42,35,C7,3.0114891672194477,gr.lagsat,0.10460214863565988,0.9750919989398624,42
