well,block,test_temperature,strain,evolution_history,mu,best_model,se,R2,n_obs
c11,2,41,35_C7,35 evolved,6.376030373872774,lagsat,0.05497518066434242,0.9983026493877903,60
d2,2,41,40_C9,40 evolved,6.481385535252537,lagsat,0.0652669915067083,0.9976595854636701,59
d3,2,41,35_D8,35 evolved,4.089687410387843,lagsat,0.07837359453570014,0.9875815623950762,72
d4,2,41,35_D8,35 evolved,NA,lagsat,NA,NA,NA
d5,2,41,40_E9,40 evolved,5.748799687207924,lagsat,0.04451851736856018,0.9985113809691736,65
d6,2,41,35_G9,35 evolved,NA,lagsat,NA,NA,NA
d8,2,41,40_C9,40 evolved,6.8549260271223105,lagsat,0.06448183180512922,0.9982040550139961,57
d9,2,41,40_C9,40 evolved,6.966134158206665,lagsat,0.06372599670394526,0.9982504939421377,56
d10,2,41,35_E9,35 evolved,4.479319831290354,lagsat,0.051120437909949024,0.9957902352260483,74
d11,2,41,40_B2,40 evolved,7.05342391327631,lagsat,0.06626307666609828,0.9982962185822614,57
e3,2,41,35_C7,35 evolved,NA,lagsat,NA,NA,NA
e8,2,41,35_C7,35 evolved,3.857128152981619,lagsat,0.06903457866287922,0.9867690939417457,77
e9,2,41,35_B2,35 evolved,3.760599949581554,lagsat,0.061068495658926476,0.9887402527727959,80
e11,2,41,40_E11,40 evolved,7.400077630317644,lagsat,0.09017935062148007,0.9970885025907072,54
f2,2,41,35_F6,35 evolved,3.719818716786843,lagsat,0.11169512581456105,0.9756934826270414,59
f3,2,41,40_F4,40 evolved,5.83460656355973,lagsat,0.0910913695762347,0.9903336310905814,62
f4,2,41,40_G11,40 evolved,6.481877586942025,lagsat,0.059457528499320685,0.9980441781639686,60
f5,2,41,40_B2,40 evolved,5.994412451605413,lagsat,0.052835514091186815,0.9981308387651268,62
f7,2,41,40_F4,40 evolved,NA,lagsat,NA,NA,NA
f8,2,41,35_G9,35 evolved,NA,lagsat,NA,NA,NA
f9,2,41,35_F6,35 evolved,NA,lagsat,NA,NA,NA
f11,2,41,35_B2,35 evolved,NA,lagsat,NA,NA,NA
g3,2,41,35_G9,35 evolved,NA,lagsat,NA,NA,NA
g5,2,41,40_F4,40 evolved,6.719657304074171,lagsat,0.06415670563051874,0.9981091012106773,58
g6,2,41,35_F6,35 evolved,3.184551789009953,lagsat,0.09470209588070004,0.9650135520636992,73
g8,2,41,35_E9,35 evolved,2.9062411440726885,lagsat,0.06810075249911128,0.9702999201883237,86
b2,2,35,35_E9,35 evolved,NA,lagsat,NA,NA,NA
b3,2,35,40_E9,40 evolved,7.3759582659266645,lagsat,0.15392044559329404,0.9847404494465269,53
b4,2,35,40_G11,40 evolved,NA,lagsat,NA,NA,NA
b5,2,35,40_E11,40 evolved,7.976302896718076,lagsat,0.17751338844275247,0.9831654106168162,50
