population,sheet_name,concentration,OD,drug
Blank,Plate1_Rep3,128,0.05660000070929527,fluconazole
40_B2,Plate1_Rep2,128,0.0982000008225441,fluconazole
40_B6,Plate1_Rep2,128,0.08309999853372574,fluconazole
40_B8,Plate1_Rep2,128,0.12070000171661377,fluconazole
40_C5,Plate1_Rep2,128,0.07909999787807465,fluconazole
40_C7,Plate1_Rep2,128,0.08160000294446945,fluconazole
40_C9,Plate1_Rep2,128,0.19779999554157257,fluconazole
fRS585,Plate1_Rep2,128,0.15199999511241913,fluconazole
Blank,Plate1_Rep2,128,0.056299999356269836,fluconazole
40_B2,Plate1_Rep1,128,0.09560000151395798,fluconazole
40_B6,Plate1_Rep1,128,0.08910000324249268,fluconazole
40_B8,Plate1_Rep1,128,0.13079999387264252,fluconazole
40_C5,Plate1_Rep1,128,0.08110000193119049,fluconazole
40_C7,Plate1_Rep1,128,0.08630000054836273,fluconazole
40_C9,Plate1_Rep1,128,0.20890000462532043,fluconazole
fRS585,Plate1_Rep1,128,0.15199999511241913,fluconazole
Blank,Plate1_Rep1,128,0.05640000104904175,fluconazole
40_F2,Plate3_Rep3,64,0.10909999907016754,fluconazole
40_F4,Plate3_Rep3,64,0.11680000275373459,fluconazole
40_F6,Plate3_Rep3,64,0.2985999882221222,fluconazole
40_G5,Plate3_Rep3,64,0.11010000109672546,fluconazole
40_G9,Plate3_Rep3,64,0.8167999982833862,fluconazole
40_G11,Plate3_Rep3,64,0.7113999724388123,fluconazole
fRS585,Plate3_Rep3,64,0.16820000112056732,fluconazole
Blank,Plate3_Rep3,64,0.05730000138282776,fluconazole
40_F2,Plate3_Rep2,64,0.13259999454021454,fluconazole
40_F4,Plate3_Rep2,64,0.10909999907016754,fluconazole
40_F6,Plate3_Rep2,64,0.1882999986410141,fluconazole
40_G5,Plate3_Rep2,64,0.17550000548362732,fluconazole
40_G9,Plate3_Rep2,64,0.5523999929428101,fluconazole
40_G11,Plate3_Rep2,64,0.5916000008583069,fluconazole
fRS585,Plate3_Rep2,64,0.1868000030517578,fluconazole
Blank,Plate3_Rep2,64,0.05689999833703041,fluconazole
40_F2,Plate3_Rep1,64,0.094200000166893,fluconazole
40_F4,Plate3_Rep1,64,0.14630000293254852,fluconazole
40_F6,Plate3_Rep1,64,0.22920000553131104,fluconazole
40_G5,Plate3_Rep1,64,0.12240000069141388,fluconazole
40_G9,Plate3_Rep1,64,0.5543000102043152,fluconazole
40_G11,Plate3_Rep1,64,0.6121000051498413,fluconazole
fRS585,Plate3_Rep1,64,0.18219999969005585,fluconazole
Blank,Plate3_Rep1,64,0.0568000003695488,fluconazole
