population,sheet_name,concentration,OD
40_G5,Plate3_Rep3,64,0.11010000109672546
40_G9,Plate3_Rep3,64,0.8167999982833862
40_G11,Plate3_Rep3,64,0.7113999724388123
fRS585,Plate3_Rep3,64,0.16820000112056732
Blank,Plate3_Rep3,64,0.05730000138282776
40_F2,Plate3_Rep2,64,0.13259999454021454
40_F4,Plate3_Rep2,64,0.10909999907016754
40_F6,Plate3_Rep2,64,0.1882999986410141
40_G5,Plate3_Rep2,64,0.17550000548362732
40_G9,Plate3_Rep2,64,0.5523999929428101
40_G11,Plate3_Rep2,64,0.5916000008583069
fRS585,Plate3_Rep2,64,0.1868000030517578
Blank,Plate3_Rep2,64,0.05689999833703041
40_F2,Plate3_Rep1,64,0.094200000166893
40_F4,Plate3_Rep1,64,0.14630000293254852
40_F6,Plate3_Rep1,64,0.22920000553131104
40_G5,Plate3_Rep1,64,0.12240000069141388
40_G9,Plate3_Rep1,64,0.5543000102043152
40_G11,Plate3_Rep1,64,0.6121000051498413
fRS585,Plate3_Rep1,64,0.18219999969005585
Blank,Plate3_Rep1,64,0.0568000003695488
40_D2,Plate2_Rep3,64,0.08250000327825546
40_D4,Plate2_Rep3,64,0.15360000729560852
40_D8,Plate2_Rep3,64,0.1103999987244606
40_E7,Plate2_Rep3,64,0.2791000008583069
40_E9,Plate2_Rep3,64,0.0997999981045723
40_E11,Plate2_Rep3,64,0.29019999504089355
fRS585,Plate2_Rep3,64,0.16459999978542328
Blank,Plate2_Rep3,64,0.057999998331069946
40_D2,Plate2_Rep2,64,0.09740000218153
40_D4,Plate2_Rep2,64,0.13590000569820404
40_D8,Plate2_Rep2,64,0.14630000293254852
40_E7,Plate2_Rep2,64,0.23749999701976776
40_E9,Plate2_Rep2,64,0.0949999988079071
40_E11,Plate2_Rep2,64,0.23810000717639923
fRS585,Plate2_Rep2,64,0.19349999725818634
Blank,Plate2_Rep2,64,0.0568000003695488
40_D2,Plate2_Rep1,64,0.09950000047683716
40_D4,Plate2_Rep1,64,0.10930000245571136
40_D8,Plate2_Rep1,64,0.10909999907016754
40_E7,Plate2_Rep1,64,0.2655999958515167
40_E9,Plate2_Rep1,64,0.0892999991774559
40_E11,Plate2_Rep1,64,0.40310001373291016
fRS585,Plate2_Rep1,64,0.21729999780654907
Blank,Plate2_Rep1,64,0.05719999969005585
40_B2,Plate1_Rep3,64,0.10090000182390213
