population,concentration,OD,sheet_name,set,rep,month,drug
40_G5,4,0.8715000152587891,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G5,2,1.055899977684021,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G5,1,1.0210000276565552,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G5,0.5,1.200700044631958,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G5,0,0.848800003528595,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G9,512,0.10530000180006027,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G9,256,0.20229999721050262,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G9,128,0.43869999051094055,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G9,64,0.5523999929428101,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G9,32,0.5555999875068665,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G9,16,0.996999979019165,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G9,8,1.0865000486373901,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G9,4,1.1223000288009644,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G9,2,1.0786999464035034,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G9,1,1.220900058746338,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G9,0.5,1.218000054359436,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G9,0,1.1062999963760376,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G11,512,0.10639999806880951,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G11,256,0.27410000562667847,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G11,128,0.26489999890327454,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G11,64,0.5916000008583069,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G11,32,0.62779998779296875,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G11,16,0.7612000107765198,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G11,8,1.0983999967575073,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G11,4,1.0099999904632568,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G11,2,1.0789999961853027,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G11,1,1.1581000089645386,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G11,0.5,1.2034000158309937,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_G11,0,1.1167999505996704,Plate3_Rep2,Plate3,Rep2,February,fluconazole
fRS585,512,0.0957999974489212,Plate3_Rep2,Plate3,Rep2,February,fluconazole
fRS585,256,0.1160999983549118,Plate3_Rep2,Plate3,Rep2,February,fluconazole
fRS585,128,0.12710000574588776,Plate3_Rep2,Plate3,Rep2,February,fluconazole
fRS585,64,0.1868000030517578,Plate3_Rep2,Plate3,Rep2,February,fluconazole
fRS585,32,0.3646000027656555,Plate3_Rep2,Plate3,Rep2,February,fluconazole
fRS585,16,0.6690999865531921,Plate3_Rep2,Plate3,Rep2,February,fluconazole
fRS585,8,0.8112000226974487,Plate3_Rep2,Plate3,Rep2,February,fluconazole
fRS585,4,0.7943999767303467,Plate3_Rep2,Plate3,Rep2,February,fluconazole
fRS585,2,0.972599983215332,Plate3_Rep2,Plate3,Rep2,February,fluconazole
fRS585,1,0.9330999851226807,Plate3_Rep2,Plate3,Rep2,February,fluconazole
fRS585,0.5,1.0540000200271606,Plate3_Rep2,Plate3,Rep2,February,fluconazole
fRS585,0,1.0144000053405762,Plate3_Rep2,Plate3,Rep2,February,fluconazole
Blank,512,0.057999998331069946,Plate3_Rep2,Plate3,Rep2,February,fluconazole
Blank,256,0.05700000002980232,Plate3_Rep2,Plate3,Rep2,February,fluconazole
Blank,128,0.0568000003695488,Plate3_Rep2,Plate3,Rep2,February,fluconazole
Blank,64,0.05689999833703041,Plate3_Rep2,Plate3,Rep2,February,fluconazole
Blank,32,0.05719999969005585,Plate3_Rep2,Plate3,Rep2,February,fluconazole
Blank,16,0.057500001043081284,Plate3_Rep2,Plate3,Rep2,February,fluconazole
Blank,8,0.05700000002980232,Plate3_Rep2,Plate3,Rep2,February,fluconazole
Blank,4,0.05810000002384186,Plate3_Rep2,Plate3,Rep2,February,fluconazole
Blank,2,0.05640000104904175,Plate3_Rep2,Plate3,Rep2,February,fluconazole
Blank,1,0.057500001043081284,Plate3_Rep2,Plate3,Rep2,February,fluconazole
Blank,0.5,0.05640000104904175,Plate3_Rep2,Plate3,Rep2,February,fluconazole
Blank,0,0.05820000171661377,Plate3_Rep2,Plate3,Rep2,February,fluconazole
40_F2,512,0.06750000268220901,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F2,256,0.07410000264644623,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F2,128,0.09799999743700027,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F2,64,0.094200000166893,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F2,32,0.7689999938011169,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F2,16,1.009600043296814,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F2,8,0.8999000191688538,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F2,4,0.9927999973297119,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F2,2,0.9043999910354614,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F2,1,1.0555000305175781,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F2,0.5,0.8023999929428101,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F2,0,1.0196000337600708,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F4,512,0.0729999989271164,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F4,256,0.08380000293254852,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F4,128,0.12530000507831573,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F4,64,0.14630000293254852,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F4,32,0.39879998564720154,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F4,16,1.0967999696731567,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F4,8,0.9161999821662903,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F4,4,1.157099962234497,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F4,2,1.1473000049591064,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F4,1,1.1751999855041504,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F4,0.5,1.0760999917984009,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F4,0,1.0111000537872314,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F6,512,0.10130000114440918,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F6,256,0.11869999766349792,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F6,128,0.1324000060558319,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F6,64,0.22920000553131104,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F6,32,0.28200000524520874,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F6,16,0.6934000253677368,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F6,8,1.1318000555038452,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F6,4,1.0442999601364136,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F6,2,1.0658999681472778,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F6,1,1.0633000135421753,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F6,0.5,1.0805000066757202,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_F6,0,0.9787999987602234,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G5,512,0.0681999996304512,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G5,256,0.06710000336170197,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G5,128,0.08250000327825546,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G5,64,0.12240000069141388,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G5,32,0.4496999979019165,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G5,16,1.059000015258789,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G5,8,0.9661999940872192,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G5,4,0.8680999875068665,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G5,2,1.1312999725341797,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G5,1,1.1950000524520874,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G5,0.5,1.1706000566482544,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G5,0,1.0006999969482422,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G9,512,0.10540000349283218,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G9,256,0.21389999985694885,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G9,128,0.6315000057220459,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G9,64,0.5543000102043152,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G9,32,0.6365000009536743,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G9,16,1.0216000080108643,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G9,8,1.1851999759674072,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G9,4,1.1396000385284424,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G9,2,1.2577999830245972,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G9,1,1.2755999565124512,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G9,0.5,1.3112000226974487,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G9,0,1.1231000423431396,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G11,512,0.0949999988079071,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G11,256,0.37059998512268066,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G11,128,0.7585999965667725,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G11,64,0.6121000051498413,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G11,32,0.597000002861023,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G11,16,0.8884999752044678,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G11,8,1.2151000499725342,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G11,4,1.2446999549865723,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G11,2,1.1904000043869019,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G11,1,1.235200047492981,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G11,0.5,1.2736999988555908,Plate3_Rep1,Plate3,Rep1,February,fluconazole
40_G11,0,1.0994000434875488,Plate3_Rep1,Plate3,Rep1,February,fluconazole
fRS585,512,0.09229999780654907,Plate3_Rep1,Plate3,Rep1,February,fluconazole
fRS585,256,0.10949999839067459,Plate3_Rep1,Plate3,Rep1,February,fluconazole
fRS585,128,0.14740000665187836,Plate3_Rep1,Plate3,Rep1,February,fluconazole
fRS585,64,0.18219999969005585,Plate3_Rep1,Plate3,Rep1,February,fluconazole
fRS585,32,0.4108999967575073,Plate3_Rep1,Plate3,Rep1,February,fluconazole
fRS585,16,0.8540999889373779,Plate3_Rep1,Plate3,Rep1,February,fluconazole
fRS585,8,1.020400047302246,Plate3_Rep1,Plate3,Rep1,February,fluconazole
fRS585,4,1.0211999416351318,Plate3_Rep1,Plate3,Rep1,February,fluconazole
