population,evolution_history,drug,ic50,se_ic50,se_log_ic50,ic50_lower,ic50_upper,n_data,n_boot_ok,n_total_iter
35_F4,35 evolved,fluconazole,21.207508224934305,2.700633994882845,0.12294764124401467,17.06993540898044,27.39553586766203,36,1000,1000
35_F6,35 evolved,fluconazole,15.556627754195992,1.500552646116406,0.09405756853974385,13.227720925895925,19.09325823771839,36,1000,1000
35_G5,35 evolved,fluconazole,23.19063103881984,1.7160224216486173,0.07333777021411936,20.229277579372347,26.89394092562001,36,1000,1000
35_G9,35 evolved,fluconazole,18.88818029580909,1.4355393893155475,0.07409089981291181,16.77501054333006,22.347079160954337,36,1000,1000
35_G11,35 evolved,fluconazole,14.365934820436905,1.6999758102029916,0.11534304308351295,11.68884452400301,18.333644962825502,36,1000,1000
35_D2,35 evolved,fluconazole,17.71027774717808,1.9025714137336724,0.10424735413487643,14.787312358593324,22.20948178300167,36,1000,1000
35_D4,35 evolved,fluconazole,1.9346503076471693,NA,NA,NA,NA,36,0,10000
35_D8,35 evolved,fluconazole,16.23922586063325,1.5617158226186254,0.09364117382230297,13.830911361185626,19.761637190318627,36,1000,1000
35_E7,35 evolved,fluconazole,15.605042170342793,1.2285121961134347,0.07725606709364449,13.623798079887909,18.44426871294547,36,1000,1000
35_E9,35 evolved,fluconazole,16.59840905726346,1.2651855984672942,0.07404705749673865,14.796478709132924,19.60527424250652,36,1000,1000
35_E11,35 evolved,fluconazole,15.75542859898965,1.3532655912857665,0.08405861354979986,13.564734428254859,18.948281656432123,36,1000,1000
35_B2,35 evolved,fluconazole,18.01991491431173,1.578781775137202,0.08567225223542561,15.560122756781016,21.626382295178264,36,1000,1000
35_B6,35 evolved,fluconazole,15.28069993190644,1.6421066112038571,0.10308215175955,13.019549724166202,19.03851019241947,36,1000,1000
35_B8,35 evolved,fluconazole,14.805829987058559,1.3363566623496765,0.08701483644116681,12.904732502043174,18.16556774500229,36,1000,1000
35_C5,35 evolved,fluconazole,16.941008512933834,1.602600363084929,0.09219142769579365,14.389446522180108,20.647598315368878,36,1000,1000
