"strain","evo_history","r_tref","e","eh","th","topt","ctmax","rmax","r2"
"40_C7","40°C Evolved",2.46546667606924,0.320735848366077,24.8922350446137,314.234366164578,39.6069213842769,42.1374274854971,6.7242793549086,0.994104595150191
"40_C9","40°C Evolved",1.55069585147704,0.556198095669172,25.2346854298553,314.071823401417,39.6469293858772,41.9873974794959,8.86010182987624,0.983537019754681
"40_D2","40°C Evolved",2.19671176432848,0.349421421480294,17.983126905474,314.068775038536,39.0768153630726,42.3974794958992,6.37545842777908,0.99897833344056
"40_D4","40°C Evolved",2.23803234276758,0.361932483412422,14.3606018048916,314.407437372794,39.1068213642729,43.1476295259052,6.72102596324438,0.99995672480463
"40_D8","40°C Evolved",2.27588656778838,0.355412500821363,28.6201579481493,314.186204258237,39.7369473894779,41.9473894778956,6.97029589224824,0.998619984444881
"40_E11","40°C Evolved",2.24814368179305,0.374669939676339,27.8810249989833,314.277342716017,39.8169633926785,42.0674134826965,7.33936386010185,0.991250938059479
"40_E7","40°C Evolved",2.10033393878154,0.399093012511766,32.1357353284147,314.255805355317,39.9469893978796,41.9173834766953,7.46646538840225,0.999970909812756
"40_E9","40°C Evolved",2.00384941320776,0.376839706983478,28.1763149975052,314.23913891628,39.7969593918784,42.0174034806961,6.58020387777336,0.99990494704507
"40_F2","40°C Evolved",2.4081325563782,0.391133552210229,28.0601854423605,314.371228083879,39.9369873974795,42.1574314862973,8.32523128408429,0.930448237033149
"40_F4","40°C Evolved",2.36523208835963,0.328162051529484,19.1299036481535,314.388228804027,39.4468893778756,42.627525505101,6.5345404631995,0.999429503197868
"40_F6","40°C Evolved",2.2637682431807,0.416906579611799,33.5216809628377,314.333557318132,40.0770154030806,41.9673934786957,8.57355679608422,0.95890849462849
"40_G11","40°C Evolved",2.23640860066864,0.423242116026568,11.350285852612,314.17370228577,38.6067213442689,43.4776955391078,7.8265087427346,0.943308625680443
"40_G5","40°C Evolved",2.35161208494801,0.347856223987738,24.0782416009225,314.192269108879,39.5569113822765,42.1374274854971,6.96363953292778,0.98787595662166
"40_G9","40°C Evolved",2.22760912364647,0.404414732144889,19.5929973829314,314.519494845476,39.6969393878776,42.7375475095019,7.89239611074545,0.994737403124954
"fRS585 (YL07)","Ancestor",2.10532255836438,0.38506808961251,20.532983023521,313.891263379339,39.1168233646729,42.0374074814963,6.8418290471599,0.991630358801968
