"strain","drug","evolution_history","ic50","ic50_ci_lo","ic50_ci_hi","r2"
"40_G5","caspofungin","evolved_40C",0.0193559535574207,0.0162771644144497,0.0520468118456537,0.949102462488613
"40_G9","caspofungin","evolved_40C",0.0295566343974327,0.0201407454667291,0.0522901298463131,0.957556714542533
"40_G11","caspofungin","evolved_40C",0.0297757116013007,0.0188660077705495,0.0801707744316878,0.938450002306867
"35_B2","caspofungin","evolved_35C",0.0122726153263481,0.00498498066645762,0.0282468234085977,0.931172379865976
"35_B6","caspofungin","evolved_35C",0.0108004679337956,0.0073003099681902,0.0147245522879271,0.987765464314568
"35_B8","caspofungin","evolved_35C",0.0160367192208269,0.010167819754962,0.0208709259337092,0.982766804124912
"35_C5","caspofungin","evolved_35C",0.0150012161611093,0.0108757282689402,0.023894481613504,0.99154290219652
"35_C7","caspofungin","evolved_35C",0.0174903332248944,0.00651543416452155,0.0476267393643767,0.9837758196153
"35_D2","caspofungin","evolved_35C",0.0149873993945687,0.00220937689051267,0.0264877917355864,0.916277287099669
"35_D4","caspofungin","evolved_35C",0.0480195786585114,0.00924693065946444,0.136846524962114,0.901328214018682
"35_D8","caspofungin","evolved_35C",0.0155291327137878,0.0148407423317754,0.01554760193959,0.979498876858688
"35_E7","caspofungin","evolved_35C",0.0127334349093933,0.00369847501772656,0.0242880467780973,0.962505531707762
"35_E9","caspofungin","evolved_35C",0.0151949748505144,0.011432510060899,0.043470568456846,0.96464442895309
"35_E11","caspofungin","evolved_35C",0.0150059589707693,0.00830666429310382,0.0261533379714174,0.957292494118536
"35_F2","caspofungin","evolved_35C",0.0170051063067832,0.00857510566427898,0.022322988455199,0.979303454353058
"35_F4","caspofungin","evolved_35C",0.0194069894167953,0.0117466152788731,0.0469243348754738,0.95552871931394
"35_F6","caspofungin","evolved_35C",0.015117221951677,0.00652333312776621,0.0295667195465885,0.966472743819126
"35_G5","caspofungin","evolved_35C",0.0167602372184511,0.00642826182467177,0.0369172786379107,0.961993687033553
"35_G9","caspofungin","evolved_35C",0.0196608566254707,0.0151692232011476,0.0431608668522145,0.978615606351568
"35_G11","caspofungin","evolved_35C",0.021086849062036,0.00944370852197101,0.0438905168310957,0.965474099831152
"40_B2","amphotericin","evolved_40C",1.87612993290001,0.984513822501403,3.26592388117489,0.984649108811322
"40_B6","amphotericin","evolved_40C",0.729331776892854,0.432146807452239,1.13081332990935,0.974478595978962
"40_B8","amphotericin","evolved_40C",1.43134845687573,1.05829171196484,2.40740950973691,0.98398042695146
"40_C5","amphotericin","evolved_40C",1.77665754418429,1.19222020694085,3.64319379310317,0.990968907553365
"40_C7","amphotericin","evolved_40C",0.932378210099801,0.557109302730241,2.89498359895786,0.854342207723417
"40_C9","amphotericin","evolved_40C",1.9113362931284,1.03841216950397,3.32115317565094,0.905139547335658
"fRS585 (YL07)","amphotericin","fRS585_control",0.48676307375512,0.360004921629483,0.83004644957687,0.979436318997599
"40_D2","amphotericin","evolved_40C",0.689941783254128,0.370551371517136,1.47252080005499,0.945091948166308
"40_D4","amphotericin","evolved_40C",1.08592378420446,0.761243862988859,2.57917503043405,0.938400126546064
"40_D8","amphotericin","evolved_40C",1.01488161115937,0.923660259827423,2.4159450415898,0.967572796343286
"40_E7","amphotericin","evolved_40C",1.68920553345326,1.29764947085985,3.48339245098607,0.96602088517551
"40_E9","amphotericin","evolved_40C",1.35839977344032,1.03436181313982,2.95399302300529,0.97578118687188
"40_E11","amphotericin","evolved_40C",1.8481905455043,1.09729052296107,3.03298347463285,0.932959367931747
"40_F2","amphotericin","evolved_40C",1.25100055782536,1.02919696008317,3.08345779890476,0.981456494360553
"40_F4","amphotericin","evolved_40C",1.86834030060017,1.16497596499262,3.6960827100911,0.990686093118545
"40_F6","amphotericin","evolved_40C",1.26317019538926,1.03240249756173,2.95060267463862,0.979933679504454
"40_G5","amphotericin","evolved_40C",1.23738384057677,0.568481097500566,1.83051127659666,0.991577569726033
"40_G9","amphotericin","evolved_40C",1.96618999090763,1.70681231521132,1.96779355481634,0.985571757290105
