strain,evolution_history,r_tref,e,eh,th,topt,tmax,rmax,b80,r2,n_obs
35_F4,35 evolved,4.213543706165523,0.6689978993251111,3.4882786096619887,312.8339737351245,36.24455613732332,50.423213076188866,21.65773371390498,8.531353135313534,0.2851132271572425,15
35_F6,35 evolved,4.549176359588962,0.6070554294894488,5.126538369389074,313.04481998581616,36.62246330016089,46.25685264405996,22.095750385804028,7.343234323432341,0.6272905508433508,15
35_G11,35 evolved,4.036879725199619,0.7447699850675772,2.4117672041644176,311.11143497381215,35.19976049813235,50,19.905652433316877,10.24752475247525,0.37916798446972055,15
35_G5,35 evolved,4.3958511277735255,0.6525629227434092,3.628560296478105,312.44064785914617,35.81193300998481,49.36328256602024,21.171791062114462,8.415841584158414,0.46660896286530573,15
35_G9,35 evolved,3.88191131156782,0.7573524843780339,3.604713814352783,311.3175123171344,35.12912982881045,48.77729106929119,22.466170101649826,7.887788778877887,0.6212775153430667,15
40_B2,40 evolved,6.206766454095024,0.40586462379824867,10.84233333887562,314.46709585110733,38.78559446406838,43.882927509524194,20.776749535737174,7.15071507150715,0.9477833268158247,15
40_B6,40 evolved,6.77710783401369,0.3662221816518013,15.403645823146775,315.1416442062996,39.940995781402854,43.74617577491413,21.421089247668125,7.08470847084709,0.8014382822035777,15
40_B8,40 evolved,6.763553997047731,0.3675532789209078,16.234242436263926,314.6405142061437,39.524325249016904,43.14507182262309,21.107986085451795,6.963696369636963,0.9362552306946557,15
40_C5,40 evolved,6.8890681936844045,0.3411990439283556,12.912765602576902,314.7761305211529,39.2591623296762,43.72943061231563,19.495169475966833,7.76127612761276,0.8714787498256673,15
40_C7,40 evolved,5.274229216191837,0.5502059264565416,3.5216366954411864,313.8064862681614,36.64456893075327,50.711966720351256,20.92794894838056,9.295929592959297,0.7974126867684742,15
40_C9,40 evolved,4.568148101624811,0.5870884938859245,7.596694268122622,314.12166714246797,38.22028660341927,44.94965115026092,24.57869053508219,6.353135313531354,0.7502567827252473,15
40_D2,40 evolved,5.8215300861347234,0.4707098274682663,4.671784579498659,313.9452879452092,36.86572246423288,47.60597296068272,19.933358189763354,8.789878987898788,0.8215834576910845,15
40_D4,40 evolved,6.40437701506078,0.4215193515285862,9.680295146023473,314.49193692669513,38.64515434405348,44.257218198931085,22.193901643946674,7.200220022002199,0.9466228672564706,15
40_D8,40 evolved,6.170426213027805,0.4357872442043868,6.6265367840166265,314.52745151995515,38.000228253984055,45.85575645174174,21.09541172543046,8.014301430143014,0.9624660111158241,15
40_E11,40 evolved,4.951317390951955,0.5914202178331897,3.825923844215828,313.57173352898263,36.70338893138284,49.61305403421357,22.19875411777813,8.608360836083609,0.839199970830323,15
40_E7,40 evolved,6.12217143668431,0.43867116276783097,10.659205574913896,314.6839721152632,39.03349399267704,44.16901700155457,22.872626489065134,6.820682068206821,0.9222257054927685,15
40_E9,40 evolved,6.106484108002515,0.4181822848758682,6.40175841853696,314.55209788872537,37.89769048722601,46.03661956950194,19.718560251563297,8.316831683168317,0.9366896324426246,15
40_F2,40 evolved,4.002942532265326,0.7650687487191041,4.095145954383805,311.9875821983897,35.85389029887252,47.81179933352191,26.03897427366341,7.337733773377341,0.5893931498787448,15
40_F4,40 evolved,6.541070528987838,0.3715216171478154,8.488789977818321,314.7746570241488,38.55279349689941,44.96106320182878,19.3735726012626,8.173817381738175,0.990880574302914,15
40_F6,40 evolved,6.259789786276328,0.46250063657135093,16.473129234799735,314.75601322909546,39.77978291668833,43.25839336467806,26.591695133414024,5.847084708470852,0.6443553853447445,15
40_G11,40 evolved,4.824496559640873,0.6152626325417677,4.816171140030143,313.23439764339975,36.74792167576495,46.98924467730465,23.948412866923118,7.5192519251925205,0.7519448832015112,15
40_G5,40 evolved,6.852489603492102,0.3836583176193735,9.68908288079212,314.5062244732437,38.57591940679261,44.24452512504373,21.173786245484813,7.678767876787681,0.7687455920972343,15
40_G9,40 evolved,6.1676094628167695,0.44329890541942235,15.123533406342055,314.7104272203086,39.59754478170351,43.36565717797745,24.37790887262554,6.160616061606163,0.7974778108752166,15
fRS585,fRS585,4.656402407532842,0.6223504660742344,2.9677183885059875,312.83191086204357,35.95678798786504,52.78424054399912,20.128796374630564,9.631463146314633,0.5877727935580945,45
